time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,663,20,38
2020-03-24 23:30:19+00:00,689,21,46
2020-03-25 23:30:08+00:00,813,23,52
2020-03-26 23:29:29+00:00,946,23,63
2020-03-27 23:58:58+00:00,1017,24,68
2020-03-28 23:30:22+00:00,1133,30,76
2020-03-29 23:30:26+00:00,1293,36,88
2020-03-30 23:31:26+00:00,1345,74,102
2020-03-31 23:30:28+00:00,1401,95,115
2020-04-01 16:30:25+00:00,1436,102,123
2020-04-04 23:30:28+00:00,1628,119,153
2020-04-05 23:30:30+00:00,1703,125,158
2020-04-06 23:30:28+00:00,1721,127,169
2020-04-07 23:30:27+00:00,1799,136,172
2020-04-08 23:30:29+00:00,1859,146,179
2020-04-09 08:00:29+00:00,1859,146,179
2020-04-12 23:30:33+00:00,2160,206,212
2020-04-13 16:00:37+00:00,2213,211,224
2020-04-15 23:30:35+00:00,2274,224,240
2020-04-16 23:30:34+00:00,2346,253,243
2020-04-17 23:30:36+00:00,2443,255,246
2020-04-18 23:30:33+00:00,2487,263,253
2020-04-19 23:30:37+00:00,2521,276,258
2020-04-20 23:30:40+00:00,2612,287,263
2020-04-21 23:30:37+00:00,2667,329,271
2020-04-22 23:30:36+00:00,2733,349,276
2020-04-23 23:30:39+00:00,2785,405,280
2020-04-24 02:30:38+00:00,2785,405,280
