time,confirmed,recovered,deaths
2020-03-01 11:00:00-03:00,0,0,0
2020-03-02 11:00:00-03:00,0,0,0
2020-03-03 11:00:00-03:00,0,0,0
2020-03-04 11:00:00-03:00,0,0,0
2020-03-05 11:00:00-03:00,0,0,0
2020-03-06 11:00:00-03:00,0,0,0
2020-03-07 11:00:00-03:00,0,0,0
2020-03-08 11:00:00-03:00,0,0,0
2020-03-09 11:00:00-03:00,0,0,0
2020-03-10 11:00:00-03:00,0,0,0
2020-03-11 11:00:00-03:00,0,0,0
2020-03-12 11:00:00-03:00,0,0,0
2020-03-13 11:00:00-03:00,0,0,0
2020-03-14 11:00:00-03:00,2,0,0
2020-03-15 11:00:00-03:00,2,0,0
2020-03-16 11:00:00-03:00,2,0,0
2020-03-17 11:00:00-03:00,2,0,0
2020-03-18 11:00:00-03:00,2,0,0
2020-03-19 11:00:00-03:00,2,0,0
2020-03-20 11:00:00-03:00,6,0,0
2020-03-21 11:00:00-03:00,10,0,0
2020-03-22 11:00:00-03:00,11,0,0
2020-03-23 11:00:00-03:00,11,0,0
2020-03-24 11:00:00-03:00,13,0,0
2020-03-25 11:00:00-03:00,19,0,0
2020-03-26 11:00:00-03:00,20,0,0
2020-03-27 11:00:00-03:00,21,0,0
2020-03-28 11:00:00-03:00,25,0,0
2020-03-29 11:00:00-03:00,27,0,0
2020-03-30 23:31:28+00:00,35,0,0
2020-03-31 23:30:29+00:00,35,0,0
2020-04-01 16:30:26+00:00,39,0,0
2020-04-04 23:30:30+00:00,55,0,0
2020-04-05 23:30:31+00:00,60,0,0
2020-04-06 23:30:29+00:00,68,0,0
2020-04-07 23:30:29+00:00,69,0,1
2020-04-08 23:30:30+00:00,77,0,1
2020-04-09 15:30:30+00:00,92,0,1
2020-04-12 23:30:35+00:00,138,0,1
2020-04-13 23:30:35+00:00,149,0,1
2020-04-14 23:30:35+00:00,155,0,1
2020-04-15 23:30:37+00:00,176,0,1
2020-04-16 23:30:35+00:00,192,0,1
2020-04-17 23:30:38+00:00,211,0,1
2020-04-18 23:30:34+00:00,226,0,1
2020-04-19 23:30:38+00:00,249,0,1
2020-04-20 23:30:41+00:00,263,0,1
2020-04-21 23:30:39+00:00,291,0,1
2020-04-22 23:30:38+00:00,326,0,2
2020-04-23 23:30:40+00:00,340,0,2
2020-04-24 23:30:38+00:00,366,0,2
2020-04-25 23:30:41+00:00,391,0,3
2020-04-26 23:30:42+00:00,443,0,4
2020-04-27 23:30:40+00:00,457,0,4
2020-04-28 23:30:51+00:00,481,0,4
2020-04-29 23:30:53+00:00,481,0,4
2020-04-30 23:30:59+00:00,546,0,5
2020-05-01 23:30:43+00:00,589,0,7
2020-05-02 23:30:48+00:00,679,0,7
2020-05-03 23:30:50+00:00,740,0,7
2020-05-04 23:30:47+00:00,760,0,7
2020-05-05 23:30:55+00:00,811,0,7
2020-05-06 23:30:56+00:00,855,0,7
2020-05-07 23:30:51+00:00,895,0,7
2020-05-08 23:30:54+00:00,923,0,9
2020-05-09 23:30:48+00:00,947,0,10
2020-05-10 23:30:42+00:00,978,0,10
2020-05-11 23:30:43+00:00,1014,0,10
2020-05-12 23:31:02+00:00,1109,0,10
2020-05-13 23:30:47+00:00,1216,0,11
2020-05-14 23:30:47+00:00,1277,0,11
2020-05-15 23:31:00+00:00,1331,0,12
2020-05-16 23:30:46+00:00,1429,0,12
2020-05-17 23:30:58+00:00,1505,0,13
2020-05-18 23:30:53+00:00,1589,0,14
2020-05-19 23:30:51+00:00,1648,0,16
2020-05-20 23:30:52+00:00,1731,0,17
2020-05-21 23:30:52+00:00,1778,0,17
2020-05-22 23:30:52+00:00,1841,0,17
2020-05-23 23:30:55+00:00,1897,0,21
2020-05-24 23:30:55+00:00,1947,0,21
2020-05-25 23:30:54+00:00,2015,0,21
2020-05-26 23:30:55+00:00,2063,0,23
2020-05-27 23:30:57+00:00,2137,0,25
2020-05-28 23:30:56+00:00,2248,0,28
2020-05-29 23:31:00+00:00,2318,0,28
2020-05-30 03:00:55+00:00,2318,0,28
2020-05-31 23:30:54+00:00,2510,0,31
2020-06-01 23:31:09+00:00,2585,0,32
2020-06-02 17:31:02+00:00,2585,0,32
2020-06-03 23:31:01+00:00,2716,0,36
2020-06-04 23:31:09+00:00,2862,0,38
2020-06-05 23:31:01+00:00,2924,0,42
2020-06-06 23:31:01+00:00,3033,0,47
2020-06-07 23:31:02+00:00,3154,0,47
2020-06-08 20:31:04+00:00,3245,0,45
2020-06-10 23:31:09+00:00,3559,0,56
2020-06-11 07:31:17+00:00,3559,0,56
