time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,90,0,1
2020-03-24 23:30:19+00:00,92,0,1
2020-03-25 23:30:08+00:00,113,0,1
2020-03-26 23:29:29+00:00,134,0,1
2020-03-27 23:58:58+00:00,151,1,3
2020-03-28 23:30:22+00:00,182,1,3
2020-03-29 23:30:26+00:00,202,1,4
2020-03-30 23:31:26+00:00,214,1,5
2020-03-31 23:30:28+00:00,226,3,7
2020-04-01 16:30:25+00:00,237,3,9
2020-04-04 23:30:28+00:00,264,9,11
2020-04-05 23:30:30+00:00,278,11,13
2020-04-06 23:30:28+00:00,287,12,13
2020-04-07 23:30:27+00:00,291,12,14
2020-04-08 23:30:29+00:00,297,13,14
2020-04-09 08:00:29+00:00,297,13,14
2020-04-12 23:30:33+00:00,315,20,18
2020-04-13 16:00:37+00:00,319,31,18
2020-04-15 23:30:35+00:00,320,38,21
2020-04-16 23:30:34+00:00,336,41,22
2020-04-17 23:30:36+00:00,337,49,22
2020-04-18 23:30:33+00:00,339,54,23
2020-04-19 23:30:37+00:00,342,71,24
2020-04-20 23:30:40+00:00,342,76,24
2020-04-21 23:30:37+00:00,350,81,24
2020-04-22 23:30:36+00:00,354,98,24
2020-04-23 23:30:39+00:00,356,103,24
2020-04-24 23:30:37+00:00,360,107,24
2020-04-25 23:30:39+00:00,361,118,25
2020-04-26 23:30:40+00:00,366,122,25
2020-04-27 23:30:37+00:00,366,124,25
2020-04-28 23:30:49+00:00,366,136,25
2020-04-29 23:30:51+00:00,366,147,25
2020-04-30 23:30:57+00:00,367,150,25
2020-05-01 23:30:42+00:00,378,160,25
2020-05-02 07:30:44+00:00,378,160,25
