time,confirmed,recovered,deaths
2020-03-09 00:00:00-03:00,1,0,0
2020-03-10 00:00:00-03:00,1,0,0
2020-03-13 00:00:00-03:00,3,0,0
2020-03-14 00:00:00-03:00,3,0,0
2020-03-15 00:00:00-03:00,3,0,0
2020-03-16 00:00:00-03:00,4,0,0
2020-03-17 00:00:00-03:00,4,0,0
2020-03-18 00:00:00-03:00,7,0,0
2020-03-19 00:00:00-03:00,14,0,0
2020-03-20 00:00:00-03:00,19,0,0
2020-03-21 00:00:00-03:00,30,0,0
2020-03-22 00:00:00-03:00,35,0,0
2020-03-23 00:00:00-03:00,46,0,0
2020-03-24 00:00:00-03:00,73,0,0
2020-03-25 00:00:00-03:00,95,0,1
2020-03-26 00:00:00-03:00,109,0,1
