time,confirmed,recovered,deaths
2020-02-27 16:00:00+09:00,61,0,0
2020-02-28 16:00:00+09:00,65,0,0
2020-02-29 16:00:00+09:00,80,0,0
2020-03-01 16:00:00+09:00,83,0,0
2020-03-11 00:00:00+09:00,98,21,1
2020-03-12 00:00:00+09:00,99,29,0
2020-03-13 00:00:00+09:00,100,36,0
2020-03-14 00:00:00+09:00,103,40,0
2020-03-15 00:00:00+09:00,106,52,1
2020-03-16 00:00:00+09:00,107,53,1
2020-03-17 00:00:00+09:00,107,54,1
2020-03-18 00:00:00+09:00,107,58,1
2020-03-19 00:00:00+09:00,107,58,1
2020-03-20 00:00:00+09:00,108,60,1
2020-03-21 00:00:00+09:00,108,67,1
2020-03-22 00:00:00+09:00,108,69,1
2020-03-23 00:00:00+09:00,109,71,1
