time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,292,5,8
2020-03-24 23:30:19+00:00,319,5,10
2020-03-25 23:30:08+00:00,351,7,11
2020-03-26 23:29:29+00:00,393,7,14
2020-03-27 23:58:58+00:00,494,7,18
2020-03-28 23:30:22+00:00,555,11,21
2020-03-29 23:30:26+00:00,614,12,25
2020-03-30 23:31:26+00:00,647,14,31
2020-03-31 23:30:28+00:00,659,17,36
2020-04-01 16:30:25+00:00,669,21,38
2020-04-04 23:30:28+00:00,741,30,49
2020-04-05 23:30:30+00:00,795,33,56
2020-04-06 23:30:28+00:00,817,37,58
2020-04-07 23:30:27+00:00,833,40,60
2020-04-08 23:30:29+00:00,859,44,60
2020-04-09 08:00:29+00:00,859,44,60
2020-04-12 23:30:33+00:00,923,62,66
2020-04-13 16:00:37+00:00,928,70,67
2020-04-15 23:30:35+00:00,971,81,71
2020-04-16 23:30:34+00:00,1009,90,72
2020-04-17 23:30:36+00:00,1009,90,72
2020-04-18 23:30:33+00:00,1011,106,73
2020-04-19 23:30:37+00:00,1035,116,75
2020-04-20 23:30:40+00:00,1038,135,75
2020-04-21 23:30:37+00:00,1047,152,76
2020-04-22 23:30:36+00:00,1060,163,76
2020-04-23 23:30:39+00:00,1069,170,76
2020-04-24 23:30:37+00:00,1079,178,80
2020-04-25 23:30:39+00:00,1088,197,80
2020-04-26 23:30:40+00:00,1089,212,80
2020-04-27 23:30:37+00:00,1096,231,83
2020-04-28 23:30:49+00:00,1097,248,85
2020-04-29 23:30:51+00:00,1102,263,86
2020-04-30 23:30:57+00:00,1108,282,86
2020-05-01 23:30:42+00:00,1112,299,86
2020-05-02 11:01:09+00:00,1112,86,727
2020-05-03 23:30:48+00:00,1114,324,88
2020-05-04 23:30:46+00:00,1118,356,88
2020-05-05 23:30:53+00:00,1119,381,88
2020-05-06 23:30:54+00:00,1122,389,89
2020-05-07 23:30:49+00:00,1125,403,89
2020-05-08 23:30:52+00:00,1126,417,90
2020-05-09 23:30:46+00:00,1129,427,90
2020-05-10 23:30:41+00:00,1132,445,91
2020-05-11 23:30:41+00:00,1134,473,93
2020-05-12 23:31:01+00:00,1138,477,93
2020-05-13 23:30:46+00:00,1140,496,93
2020-05-14 23:30:46+00:00,1143,524,95
2020-05-15 23:30:59+00:00,1144,544,95
2020-05-16 23:30:45+00:00,1151,582,95
2020-05-17 23:30:56+00:00,1151,634,95
2020-05-18 23:30:51+00:00,1151,655,95
2020-05-19 23:30:50+00:00,1153,676,95
2020-05-20 23:30:51+00:00,1156,707,96
2020-05-21 23:30:51+00:00,1156,734,96
2020-05-22 23:30:51+00:00,1157,759,96
2020-05-23 23:30:54+00:00,1157,773,96
2020-05-24 23:30:54+00:00,1157,786,96
2020-05-25 23:30:53+00:00,1157,797,96
2020-05-26 23:30:54+00:00,1157,823,96
2020-05-27 23:30:56+00:00,1158,872,96
2020-05-28 23:30:54+00:00,1158,892,96
2020-05-29 23:30:58+00:00,1158,902,97
2020-05-30 03:00:54+00:00,1158,902,97
2020-05-31 23:30:53+00:00,1158,917,97
2020-06-01 23:31:02+00:00,1158,926,97
2020-06-02 18:00:57+00:00,1158,949,97
2020-06-03 23:30:59+00:00,1158,951,97
2020-06-04 23:31:07+00:00,1158,959,97
2020-06-05 23:30:59+00:00,1159,965,97
2020-06-06 23:31:00+00:00,1159,971,97
2020-06-07 23:31:01+00:00,1159,971,97
2020-06-08 23:31:14+00:00,1159,985,97
2020-06-09 23:31:08+00:00,1159,994,97
2020-06-10 23:31:07+00:00,1159,1008,97
2020-06-11 23:31:14+00:00,1161,1012,97
2020-06-12 23:31:06+00:00,1161,1017,97
2020-06-13 23:31:07+00:00,1162,1020,97
2020-06-14 05:31:08+00:00,1162,1020,97
