time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,1103,48,49
2020-03-24 23:30:19+00:00,1194,53,56
2020-03-25 23:30:08+00:00,1199,53,74
2020-03-26 23:29:29+00:00,1310,58,83
2020-03-27 23:58:58+00:00,1582,64,107
2020-03-28 23:30:22+00:00,1592,76,109
2020-03-29 23:30:26+00:00,1945,86,117
2020-03-30 23:31:26+00:00,2067,88,125
2020-03-31 23:30:28+00:00,2231,88,133
2020-04-01 16:30:25+00:00,2231,107,148
2020-04-04 23:30:28+00:00,2960,149,186
2020-04-05 23:30:30+00:00,3068,150,189
2020-04-06 23:30:28+00:00,3148,150,189
2020-04-07 23:30:27+00:00,3268,167,216
2020-04-08 23:30:29+00:00,3268,188,221
2020-04-09 08:00:29+00:00,3344,188,221
2020-04-12 23:30:33+00:00,3604,305,242
2020-04-13 16:00:37+00:00,3670,360,248
2020-04-15 23:30:35+00:00,3807,442,278
2020-04-16 23:30:34+00:00,3887,483,286
2020-04-17 23:30:36+00:00,3951,631,293
2020-04-18 23:30:33+00:00,3988,643,300
2020-04-19 23:30:37+00:00,4029,703,304
2020-04-20 23:30:40+00:00,4074,746,309
2020-04-21 23:30:37+00:00,4135,872,317
2020-04-22 23:30:36+00:00,4185,872,327
2020-04-23 23:30:39+00:00,4238,928,332
2020-04-24 23:30:37+00:00,4282,1003,336
2020-04-25 23:30:39+00:00,4299,1023,341
2020-04-26 23:30:40+00:00,4331,1062,345
2020-04-27 23:30:37+00:00,4349,1120,352
2020-04-28 23:30:49+00:00,4380,1220,358
2020-04-29 23:30:51+00:00,4410,1269,359
2020-04-30 23:30:57+00:00,4423,1291,359
2020-05-01 07:00:59+00:00,4423,1291,359
