time,confirmed,recovered,deaths
2020-03-01 11:00:00-03:00,0,0,0
2020-03-02 11:00:00-03:00,1,0,0
2020-03-03 11:00:00-03:00,2,0,0
2020-03-04 11:00:00-03:00,4,0,0
2020-03-05 11:00:00-03:00,6,0,0
2020-03-06 11:00:00-03:00,6,0,0
2020-03-07 11:00:00-03:00,7,0,0
2020-03-08 11:00:00-03:00,10,0,0
2020-03-09 11:00:00-03:00,13,0,0
2020-03-10 11:00:00-03:00,17,0,0
2020-03-11 11:00:00-03:00,23,0,0
2020-03-12 11:00:00-03:00,33,0,0
2020-03-13 11:00:00-03:00,43,0,0
2020-03-14 11:00:00-03:00,61,0,0
2020-03-15 11:00:00-03:00,75,0,0
2020-03-16 11:00:00-03:00,156,0,0
2020-03-17 11:00:00-03:00,201,0,0
2020-03-18 11:00:00-03:00,238,0,0
2020-03-19 11:00:00-03:00,342,5,0
2020-03-20 11:00:00-03:00,434,6,0
2020-03-21 11:00:00-03:00,537,8,1
2020-03-22 11:00:00-03:00,632,8,1
2020-03-23 11:00:00-03:00,746,11,2
2020-03-24 11:00:00-03:00,922,17,2
2020-03-25 11:00:00-03:00,1142,22,3
2020-03-26 11:00:00-03:00,1306,33,4
2020-03-27 11:00:00-03:00,1610,43,5
2020-03-28 11:00:00-03:00,1909,61,6
2020-03-29 11:00:00-03:00,2139,75,7
2020-03-30 23:31:28+00:00,2449,156,8
2020-03-31 15:00:26+00:00,2449,156,8
2020-04-08 23:30:30+00:00,5546,1115,48
2020-04-09 15:30:30+00:00,5972,1274,57
2020-04-12 23:30:35+00:00,7213,2059,80
2020-04-13 23:30:35+00:00,7525,2367,82
2020-04-14 23:30:35+00:00,7917,2646,92
2020-04-15 23:30:37+00:00,8273,2937,94
2020-04-16 23:30:35+00:00,8807,3299,105
2020-04-17 23:30:38+00:00,9252,3621,116
2020-04-18 23:30:34+00:00,9730,4035,126
2020-04-19 23:30:38+00:00,10088,4338,133
2020-04-20 15:30:37+00:00,10507,4476,139
2020-04-23 23:30:40+00:00,11812,5804,168
2020-04-24 23:30:38+00:00,12306,6327,174
2020-04-25 23:30:41+00:00,12858,6746,181
2020-04-26 23:30:42+00:00,13331,7024,189
2020-04-27 23:30:40+00:00,13813,7327,198
2020-04-28 23:30:51+00:00,14365,7710,207
2020-04-29 23:30:53+00:00,14365,7710,207
2020-04-30 23:30:59+00:00,16023,8580,227
2020-05-01 23:30:43+00:00,17008,9018,234
2020-05-02 23:30:48+00:00,18435,9572,247
2020-05-03 23:30:50+00:00,19663,10041,260
2020-05-04 23:30:47+00:00,20643,10415,270
2020-05-05 23:30:55+00:00,22016,10710,275
2020-05-06 23:30:56+00:00,23048,11189,281
2020-05-07 23:30:51+00:00,24581,11664,285
2020-05-08 23:30:54+00:00,25972,12160,294
2020-05-09 23:30:48+00:00,27219,12667,304
2020-05-10 23:30:42+00:00,28866,13112,312
2020-05-11 23:30:43+00:00,30063,13605,323
2020-05-12 23:31:02+00:00,31721,14125,335
2020-05-13 23:30:48+00:00,34381,14865,346
2020-05-14 23:30:48+00:00,37040,15655,368
2020-05-15 01:00:53+00:00,37040,15655,368
