time,confirmed,recovered,deaths
2020-02-27 16:00:00+09:00,12,0,0
2020-02-28 16:00:00+09:00,35,0,0
2020-02-29 16:00:00+09:00,55,0,0
2020-03-01 16:00:00+09:00,68,0,0
2020-03-11 00:00:00+09:00,112,1,0
2020-03-12 00:00:00+09:00,114,5,0
2020-03-13 00:00:00+09:00,115,7,0
2020-03-14 00:00:00+09:00,115,9,0
2020-03-15 00:00:00+09:00,115,10,0
2020-03-16 00:00:00+09:00,115,12,0
2020-03-17 00:00:00+09:00,115,15,0
2020-03-18 00:00:00+09:00,118,16,0
2020-03-19 00:00:00+09:00,118,31,0
2020-03-20 00:00:00+09:00,119,32,0
2020-03-21 00:00:00+09:00,119,39,0
2020-03-22 00:00:00+09:00,120,39,0
2020-03-23 00:00:00+09:00,120,44,0
2020-03-24 00:00:00+09:00,120,56,0
2020-03-25 00:00:00+09:00,123,65,0
2020-03-26 00:00:00+09:00,124,68,0
2020-03-27 00:00:00+09:00,124,78,0
2020-03-28 00:00:00+09:00,126,81,0
2020-03-29 00:00:00+09:00,127,83,0
2020-03-30 00:00:00+09:00,127,83,0
2020-03-31 00:00:00+09:00,128,90,0
2020-04-01 00:00:00+09:00,131,91,0
2020-04-02 00:00:00+09:00,133,95,0
2020-04-03 00:00:00+09:00,134,97,0
2020-04-04 00:00:00+09:00,135,102,0
2020-04-05 00:00:00+09:00,135,102,0
2020-04-06 00:00:00+09:00,136,102,0
2020-04-07 00:00:00+09:00,137,104,0
2020-04-08 00:00:00+09:00,137,106,0
2020-04-09 00:00:00+09:00,138,105,0
