time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,8535,423,892
2020-03-24 23:30:19+00:00,9254,558,985
2020-03-25 23:30:08+00:00,10054,721,1077
2020-03-26 23:29:29+00:00,10816,792,1174
2020-03-27 23:58:58+00:00,11588,960,1267
2020-03-28 23:30:22+00:00,12383,1075,1344
2020-03-29 23:30:26+00:00,13119,1141,1443
2020-03-30 23:31:26+00:00,13531,1227,1538
2020-03-31 23:30:28+00:00,14074,1477,1644
2020-04-01 16:30:25+00:00,14787,1566,1732
2020-04-04 23:30:28+00:00,16540,2040,1977
2020-04-05 23:30:30+00:00,17089,2201,2051
2020-04-06 23:30:28+00:00,17556,2397,2108
2020-04-07 23:30:27+00:00,17825,2597,2180
2020-04-08 23:30:28+00:00,18234,2890,2234
2020-04-09 08:00:29+00:00,18234,2890,2234
2020-04-12 23:30:33+00:00,20098,3862,2564
2020-04-13 16:00:37+00:00,20440,4007,2615
2020-04-15 23:30:35+00:00,21029,4664,2788
2020-04-16 23:30:34+00:00,21486,4980,2843
2020-04-17 23:30:36+00:00,21834,5346,2903
2020-04-18 23:30:33+00:00,22184,5635,2965
2020-04-19 23:30:37+00:00,22560,5985,3023
2020-04-20 23:30:40+00:00,22867,6266,3079
2020-04-21 23:30:37+00:00,23092,6701,3147
2020-04-22 23:30:36+00:00,23434,7146,3204
2020-04-23 23:30:39+00:00,23723,7609,3269
2020-04-24 23:30:37+00:00,23970,8158,3303
2020-04-25 23:30:39+00:00,24209,8515,3347
2020-04-26 23:30:40+00:00,24450,8723,3386
2020-04-27 23:30:37+00:00,24662,9006,3431
2020-04-28 23:30:49+00:00,24914,9439,3472
2020-04-29 23:30:51+00:00,25177,9803,3512
2020-04-30 23:30:57+00:00,25436,12322,3551
2020-05-01 23:30:42+00:00,25644,12581,3579
2020-05-02 11:01:09+00:00,25644,3579,9484
2020-05-03 23:30:48+00:00,26016,13329,3642
2020-05-04 23:30:46+00:00,26175,13525,3666
2020-05-05 23:30:53+00:00,26275,13889,3705
2020-05-06 23:30:54+00:00,26379,14251,3737
2020-05-07 23:30:49+00:00,26487,14710,3766
2020-05-08 23:30:52+00:00,26598,15071,3797
2020-05-09 23:30:46+00:00,26719,15491,3827
2020-05-10 23:30:41+00:00,26796,15760,3845
2020-05-11 23:30:41+00:00,26876,15969,3867
2020-05-12 23:31:01+00:00,26929,16243,3885
2020-05-13 23:30:46+00:00,26979,16572,3905
2020-05-14 23:30:46+00:00,27056,16825,3930
2020-05-15 23:30:59+00:00,27110,17166,3943
2020-05-16 23:30:45+00:00,27182,17370,3960
2020-05-17 23:30:56+00:00,27232,17603,3973
2020-05-18 23:30:51+00:00,27267,17756,3986
2020-05-19 23:30:50+00:00,27314,17987,3997
2020-05-20 23:30:51+00:00,27364,18258,4008
2020-05-21 23:30:51+00:00,27417,18466,4025
2020-05-22 23:30:51+00:00,27470,18703,4037
2020-05-23 23:30:54+00:00,27513,18896,4047
2020-05-24 23:30:54+00:00,27558,19046,4055
2020-05-25 23:30:53+00:00,27587,19160,4068
2020-05-26 23:30:54+00:00,27611,19389,4076
2020-05-27 23:30:56+00:00,27627,19546,4083
2020-05-28 23:30:54+00:00,27701,19857,4094
2020-05-29 23:30:58+00:00,27739,20073,4102
2020-05-30 03:00:54+00:00,27739,20073,4102
2020-05-31 23:30:53+00:00,27790,20513,4114
2020-06-01 23:31:02+00:00,27809,20617,4124
2020-06-02 18:00:57+00:00,27828,20780,4136
2020-06-03 23:30:59+00:00,27842,20856,4147
2020-06-04 23:31:07+00:00,27860,21018,4154
2020-06-05 23:30:59+00:00,27877,21198,4167
2020-06-06 23:31:00+00:00,27894,21307,4171
2020-06-07 23:31:01+00:00,27908,21405,4175
2020-06-08 23:31:14+00:00,27928,21467,4179
2020-06-09 23:31:08+00:00,27946,21605,4185
2020-06-10 23:31:07+00:00,27970,21717,4192
2020-06-11 23:31:14+00:00,27995,21803,4192
2020-06-12 17:31:05+00:00,28028,22015,4196
