time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,930,105,54
2020-03-24 23:30:19+00:00,992,105,64
2020-03-25 23:30:08+00:00,1139,158,70
2020-03-26 23:29:29+00:00,1223,197,72
2020-03-27 23:58:58+00:00,1317,214,76
2020-03-28 23:30:22+00:00,1436,229,87
2020-03-29 23:30:26+00:00,1480,241,98
2020-03-30 23:31:26+00:00,1501,285,107
2020-03-31 23:30:28+00:00,1593,320,113
2020-04-01 16:30:25+00:00,1685,357,122
2020-04-04 23:30:28+00:00,1986,505,145
2020-04-05 23:30:30+00:00,2048,531,154
2020-04-06 23:30:28+00:00,2103,549,158
2020-04-07 23:30:27+00:00,2153,610,164
2020-04-08 23:30:29+00:00,2218,634,169
2020-04-09 08:00:29+00:00,2218,634,169
2020-04-12 23:30:33+00:00,2431,910,195
2020-04-13 16:00:37+00:00,2482,973,202
2020-04-15 23:30:35+00:00,2544,1415,212
2020-04-16 23:30:34+00:00,2616,1415,217
2020-04-17 23:30:36+00:00,2675,1415,220
2020-04-18 23:30:33+00:00,2731,1415,222
2020-04-19 23:30:37+00:00,2745,1415,225
2020-04-20 23:30:40+00:00,2775,1415,239
2020-04-21 23:30:37+00:00,2792,1415,241
2020-04-22 23:30:36+00:00,2817,1415,246
2020-04-23 23:30:39+00:00,2858,1467,256
2020-04-24 23:30:37+00:00,2882,1467,258
2020-04-25 23:30:39+00:00,2903,1556,263
2020-04-26 23:30:40+00:00,2917,1556,264
2020-04-27 23:30:37+00:00,2977,1556,271
2020-04-28 23:30:49+00:00,2995,1556,278
2020-04-29 23:30:51+00:00,3010,1556,285
2020-04-30 23:30:57+00:00,3025,1566,289
2020-05-01 23:30:42+00:00,3041,1632,294
2020-05-02 11:01:09+00:00,3041,294,1115
2020-05-03 23:30:48+00:00,3072,1688,297
2020-05-04 23:30:46+00:00,3076,1727,299
2020-05-05 23:30:53+00:00,3085,1798,303
2020-05-06 23:30:54+00:00,3094,1826,306
2020-05-07 23:30:49+00:00,3107,1872,308
2020-05-08 23:30:52+00:00,3116,1897,308
2020-05-09 23:30:46+00:00,3124,1947,308
2020-05-10 23:30:41+00:00,3130,1969,310
2020-05-11 23:30:41+00:00,3138,1996,312
2020-05-12 23:31:01+00:00,3148,2034,313
2020-05-13 23:30:46+00:00,3156,2061,316
2020-05-14 23:30:46+00:00,3161,2074,317
2020-05-15 23:30:59+00:00,3175,2116,318
2020-05-16 23:30:45+00:00,3183,2184,319
2020-05-17 23:30:56+00:00,3191,2218,319
2020-05-18 23:30:51+00:00,3198,2257,320
2020-05-19 23:30:50+00:00,3203,2283,320
2020-05-20 23:30:51+00:00,3209,2291,322
2020-05-21 23:30:51+00:00,3215,2314,323
2020-05-22 23:30:51+00:00,3227,2417,325
2020-05-23 23:30:54+00:00,3233,2447,327
2020-05-24 23:30:54+00:00,3236,2495,329
2020-05-25 23:30:53+00:00,3240,2525,329
2020-05-26 23:30:54+00:00,3251,2547,329
2020-05-27 23:30:56+00:00,3255,2568,331
2020-05-28 23:30:54+00:00,3262,2593,333
2020-05-29 23:30:58+00:00,3267,2611,333
2020-05-30 03:00:54+00:00,3267,2611,333
2020-05-31 23:30:53+00:00,3273,2662,333
2020-06-01 23:31:02+00:00,3274,2673,335
2020-06-02 18:00:57+00:00,3276,2696,336
2020-06-03 23:30:59+00:00,3276,2707,336
2020-06-04 23:31:07+00:00,3279,2730,336
2020-06-05 23:30:59+00:00,3280,2762,338
2020-06-06 23:31:00+00:00,3283,2784,338
2020-06-07 23:31:01+00:00,3283,2793,339
2020-06-08 23:31:14+00:00,3284,2800,340
2020-06-09 23:31:08+00:00,3284,2816,340
2020-06-10 23:31:07+00:00,3286,2832,341
2020-06-11 23:31:14+00:00,3287,2833,342
2020-06-12 18:31:20+00:00,3290,2840,342
