time,confirmed,recovered,deaths
2020-02-27 16:00:00+09:00,6,0,0
2020-02-28 16:00:00+09:00,7,0,0
2020-02-29 16:00:00+09:00,7,0,0
2020-03-01 16:00:00+09:00,15,0,0
2020-03-11 00:00:00+09:00,29,6,1
2020-03-12 00:00:00+09:00,29,6,1
2020-03-13 00:00:00+09:00,29,6,1
2020-03-14 00:00:00+09:00,29,6,1
2020-03-15 00:00:00+09:00,29,7,1
2020-03-16 00:00:00+09:00,29,7,1
2020-03-17 00:00:00+09:00,29,8,1
2020-03-18 00:00:00+09:00,30,8,1
2020-03-19 00:00:00+09:00,30,9,1
2020-03-20 00:00:00+09:00,30,10,1
2020-03-21 00:00:00+09:00,30,12,1
2020-03-22 00:00:00+09:00,30,13,1
2020-03-23 00:00:00+09:00,30,14,1
2020-03-24 00:00:00+09:00,30,14,1
2020-03-25 00:00:00+09:00,31,15,1
2020-03-26 00:00:00+09:00,31,18,1
2020-03-27 00:00:00+09:00,31,20,1
2020-03-28 00:00:00+09:00,32,20,1
2020-03-29 00:00:00+09:00,34,21,1
2020-03-30 00:00:00+09:00,36,21,1
2020-03-31 00:00:00+09:00,36,23,1
2020-04-01 00:00:00+09:00,38,23,1
2020-04-02 00:00:00+09:00,39,23,1
