time,confirmed,recovered,deaths
2020-02-27 16:00:00+09:00,345,0,8
2020-02-28 16:00:00+09:00,409,0,8
2020-02-29 16:00:00+09:00,488,0,8
2020-03-01 16:00:00+09:00,555,0,8
2020-03-11 00:00:00+09:00,1135,69,14
2020-03-12 00:00:00+09:00,1143,83,16
2020-03-13 00:00:00+09:00,1147,103,16
2020-03-14 00:00:00+09:00,1153,138,17
2020-03-15 00:00:00+09:00,1157,163,17
2020-03-16 00:00:00+09:00,1164,178,17
2020-03-17 00:00:00+09:00,1169,209,19
2020-03-18 00:00:00+09:00,1178,235,21
2020-03-19 00:00:00+09:00,1190,275,21
2020-03-20 00:00:00+09:00,1203,340,22
2020-03-21 00:00:00+09:00,1243,395,24
2020-03-22 00:00:00+09:00,1254,432,24
2020-03-23 00:00:00+09:00,1256,469,24
2020-03-24 00:00:00+09:00,1257,507,26
