time,confirmed,recovered,deaths
2020-02-27 16:00:00+09:00,62,9,1
2020-02-28 16:00:00+09:00,72,9,1
2020-02-29 16:00:00+09:00,82,8,1
2020-03-01 16:00:00+09:00,89,8,1
2020-03-11 00:00:00+09:00,175,25,1
2020-03-12 00:00:00+09:00,178,27,1
2020-03-13 00:00:00+09:00,185,31,2
2020-03-14 00:00:00+09:00,200,36,3
2020-03-15 00:00:00+09:00,211,40,3
2020-03-16 00:00:00+09:00,231,48,3
2020-03-17 00:00:00+09:00,262,55,3
2020-03-18 00:00:00+09:00,277,59,3
2020-03-19 00:00:00+09:00,295,64,3
2020-03-20 00:00:00+09:00,309,66,3
2020-03-21 00:00:00+09:00,321,79,3
2020-03-22 00:00:00+09:00,337,82,3
2020-03-23 00:00:00+09:00,351,88,3
2020-03-24 00:00:00+09:00,366,97,4
2020-03-25 00:00:00+09:00,387,100,4
2020-03-26 00:00:00+09:00,401,122,4
2020-03-27 00:00:00+09:00,412,131,4
2020-03-28 00:00:00+09:00,433,140,5
2020-03-29 00:00:00+09:00,448,144,5
2020-03-30 00:00:00+09:00,463,160,5
2020-03-31 00:00:00+09:00,476,166,6
2020-04-01 00:00:00+09:00,499,171,6
2020-04-02 00:00:00+09:00,516,181,6
2020-04-03 00:00:00+09:00,539,186,6
2020-04-04 00:00:00+09:00,562,200,6
2020-04-05 00:00:00+09:00,572,208,7
2020-04-06 00:00:00+09:00,580,213,7
2020-04-07 00:00:00+09:00,590,226,7
2020-04-08 00:00:00+09:00,596,237,10
2020-04-09 00:00:00+09:00,606,259,11
2020-04-10 00:00:00+09:00,615,11,22
2020-04-11 00:00:00+09:00,624,11,22
2020-04-12 00:00:00+09:00,628,12,21
2020-04-13 00:00:00+09:00,631,13,20
2020-04-14 00:00:00+09:00,639,13,19
2020-04-15 00:00:00+09:00,645,13,23
2020-04-16 00:00:00+09:00,649,14,24
2020-04-17 00:00:00+09:00,650,14,23
2020-04-18 00:00:00+09:00,654,14,24
2020-04-19 00:00:00+09:00,654,14,23
2020-04-20 00:00:00+09:00,656,14,23
2020-04-21 00:00:00+09:00,658,14,21
2020-04-22 00:00:00+09:00,658,14,20
2020-04-23 00:00:00+09:00,659,14,20
2020-04-24 00:00:00+09:00,660,14,20
2020-04-25 00:00:00+09:00,662,14,19
2020-04-26 00:00:00+09:00,668,14,17
2020-04-27 00:00:00+09:00,671,14,16
2020-04-28 00:00:00+09:00,674,14,14
2020-04-29 00:00:00+09:00,676,15,14
2020-04-30 00:00:00+09:00,676,15,11
2020-05-01 00:00:00+09:00,678,16,11
2020-05-02 00:00:00+09:00,678,16,9
2020-05-03 00:00:00+09:00,680,16,8
2020-05-04 00:00:00+09:00,681,16,9
2020-05-05 00:00:00+09:00,681,16,9
2020-05-06 00:00:00+09:00,681,16,9
2020-05-07 00:00:00+09:00,682,16,9
2020-05-08 00:00:00+09:00,684,16,10
2020-05-09 00:00:00+09:00,688,16,10
2020-05-10 00:00:00+09:00,694,16,10
2020-05-11 00:00:00+09:00,698,16,11
2020-05-12 00:00:00+09:00,706,16,11
2020-05-13 00:00:00+09:00,708,16,10
2020-05-14 00:00:00+09:00,714,16,10
2020-05-15 00:00:00+09:00,717,16,9
2020-05-16 00:00:00+09:00,721,16,8
2020-05-17 00:00:00+09:00,721,16,8
2020-05-18 00:00:00+09:00,724,16,7
2020-05-19 00:00:00+09:00,725,16,7
2020-05-20 00:00:00+09:00,735,16,6
2020-05-21 00:00:00+09:00,735,17,6
2020-05-22 00:00:00+09:00,741,17,6
2020-05-23 00:00:00+09:00,754,18,6
2020-05-24 00:00:00+09:00,760,18,7
2020-05-25 00:00:00+09:00,766,19,6
2020-05-26 00:00:00+09:00,768,19,5
2020-05-27 00:00:00+09:00,774,19,5
2020-05-28 00:00:00+09:00,795,19,4
2020-05-29 00:00:00+09:00,815,19,3
2020-05-30 00:00:00+09:00,828,19,4
2020-05-31 00:00:00+09:00,840,19,4
2020-06-01 00:00:00+09:00,852,19,4
2020-06-02 00:00:00+09:00,867,19,3
2020-06-03 00:00:00+09:00,879,19,3
2020-06-04 00:00:00+09:00,894,19,3
2020-06-05 00:00:00+09:00,907,19,3
2020-06-07 00:00:00+09:00,934,19,4
2020-06-08 00:00:00+09:00,942,19,4
2020-06-09 00:00:00+09:00,955,20,4
2020-06-10 00:00:00+09:00,976,22,5
2020-06-11 00:00:00+09:00,992,22,5
2020-06-12 00:00:00+09:00,1011,22,4
2020-06-13 00:00:00+09:00,1025,22,4
2020-06-14 00:00:00+09:00,1035,22,5
2020-06-15 00:00:00+09:00,1045,22,5
