time,confirmed,recovered,deaths
2020-02-27 16:00:00+09:00,43,0,0
2020-02-28 16:00:00+09:00,49,0,0
2020-02-29 16:00:00+09:00,59,0,0
2020-03-01 16:00:00+09:00,63,0,0
2020-03-11 00:00:00+09:00,84,10,0
2020-03-12 00:00:00+09:00,85,10,0
2020-03-13 00:00:00+09:00,85,11,0
2020-03-14 00:00:00+09:00,85,11,0
2020-03-15 00:00:00+09:00,85,16,0
2020-03-16 00:00:00+09:00,85,20,0
2020-03-17 00:00:00+09:00,86,22,0
2020-03-18 00:00:00+09:00,86,23,0
2020-03-19 00:00:00+09:00,86,29,0
2020-03-20 00:00:00+09:00,87,33,0
2020-03-21 00:00:00+09:00,87,40,0
2020-03-22 00:00:00+09:00,88,42,0
