time,confirmed,recovered,deaths
2020-02-27 16:00:00+09:00,3,1,0
2020-02-28 16:00:00+09:00,4,1,0
2020-02-29 16:00:00+09:00,6,1,0
2020-03-01 16:00:00+09:00,6,1,0
2020-03-11 00:00:00+09:00,25,3,0
2020-03-12 00:00:00+09:00,25,4,0
2020-03-13 00:00:00+09:00,27,4,0
2020-03-14 00:00:00+09:00,28,4,0
2020-03-15 00:00:00+09:00,30,4,0
2020-03-16 00:00:00+09:00,30,4,0
2020-03-17 00:00:00+09:00,31,5,0
2020-03-18 00:00:00+09:00,32,5,0
2020-03-19 00:00:00+09:00,32,6,0
2020-03-20 00:00:00+09:00,36,7,0
2020-03-21 00:00:00+09:00,40,7,0
2020-03-22 00:00:00+09:00,40,8,0
