time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,1540,63,63
2020-03-24 23:30:19+00:00,1728,103,80
2020-03-25 23:30:08+00:00,1901,131,95
2020-03-26 23:29:29+00:00,2096,155,106
2020-03-27 23:58:58+00:00,2295,164,118
2020-03-28 23:30:22+00:00,2505,200,124
2020-03-29 23:30:26+00:00,2706,208,136
2020-03-30 23:31:26+00:00,2914,267,150
2020-03-31 23:30:28+00:00,3095,291,162
2020-04-01 16:30:25+00:00,3264,337,169
2020-04-04 23:30:28+00:00,3757,439,212
2020-04-05 23:30:30+00:00,3880,475,219
2020-04-06 23:30:28+00:00,4031,502,229
2020-04-07 15:30:52+00:00,4031,502,229
