time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,1924,159,212
2020-03-24 23:30:19+00:00,2116,193,231
2020-03-25 23:30:08+00:00,2305,225,254
2020-03-26 23:29:29+00:00,2567,260,280
2020-03-27 23:58:58+00:00,2696,305,331
2020-03-28 23:30:22+00:00,2822,378,358
2020-03-29 23:30:26+00:00,3076,420,377
2020-03-30 23:31:26+00:00,3217,437,397
2020-03-31 23:30:28+00:00,3416,480,428
2020-04-01 16:30:25+00:00,3660,555,460
2020-04-04 23:30:28+00:00,4203,767,542
2020-04-05 23:30:30+00:00,4449,800,556
2020-04-06 04:30:31+00:00,4449,800,556
