time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,28761,6075,3776
2020-03-24 23:30:19+00:00,30703,6657,4178
2020-03-25 23:30:08+00:00,32346,7281,4474
2020-03-26 23:29:29+00:00,34889,7839,4861
2020-03-27 23:58:58+00:00,37298,8001,5402
2020-03-28 23:30:22+00:00,39415,8962,5944
2020-03-29 23:30:26+00:00,41007,9255,6360
2020-03-30 23:31:26+00:00,42161,10337,6818
2020-03-31 23:30:28+00:00,43208,10885,7199
2020-04-01 16:30:25+00:00,44773,11415,7593
2020-04-04 23:30:28+00:00,49118,13242,8656
2020-04-05 23:30:30+00:00,50455,13426,8905
2020-04-06 23:30:28+00:00,51534,13863,9202
2020-04-07 23:30:27+00:00,52325,14498,9484
2020-04-08 23:30:28+00:00,53414,15147,9722
2020-04-09 08:00:29+00:00,53414,15147,9722
2020-04-12 23:30:33+00:00,59052,17166,10621
2020-04-13 16:00:37+00:00,60314,17478,10901
2020-04-15 23:30:35+00:00,62153,17855,11377
2020-04-16 23:30:34+00:00,63094,18396,11608
2020-04-17 23:30:36+00:00,64135,18850,11851
2020-04-18 23:30:33+00:00,65381,19136,12050
2020-04-19 23:30:37+00:00,66236,19526,12213
2020-04-20 23:30:40+00:00,66971,20008,12376
2020-04-21 23:30:37+00:00,67931,21374,12579
2020-04-22 23:30:36+00:00,69092,22110,12740
2020-04-23 23:30:39+00:00,70165,23352,12940
2020-04-24 23:30:37+00:00,71256,23782,13106
2020-04-25 23:30:39+00:00,71969,24227,13269
2020-04-26 23:30:40+00:00,72889,24398,13325
2020-04-27 23:30:37+00:00,73479,24589,13449
2020-04-28 23:30:49+00:00,74348,25029,13575
2020-04-29 23:30:51+00:00,75134,25333,13679
2020-04-30 23:30:57+00:00,75732,25749,13772
2020-05-01 23:30:42+00:00,76469,26136,13860
2020-05-02 23:30:44+00:00,77002,14189,36667
2020-05-03 23:30:48+00:00,77528,26371,14231
2020-05-04 23:30:46+00:00,78105,26504,14294
2020-05-05 23:30:53+00:00,78605,27124,14389
2020-05-06 23:30:54+00:00,79369,33005,14611
2020-05-07 23:30:49+00:00,80089,33329,14745
2020-05-08 23:30:52+00:00,80723,33901,14839
2020-05-09 23:30:46+00:00,81225,36039,14924
2020-05-10 23:30:41+00:00,81507,36331,14986
2020-05-11 23:30:41+00:00,81871,36406,15054
2020-05-12 23:31:01+00:00,82904,37113,15116
2020-05-13 23:30:46+00:00,83298,38081,15185
2020-05-14 23:30:46+00:00,83820,38568,15296
2020-05-15 23:30:59+00:00,84119,40962,15411
2020-05-16 23:30:45+00:00,84518,41389,15450
2020-05-17 23:30:56+00:00,84844,41895,15519
2020-05-18 23:30:51+00:00,85019,42403,15543
2020-05-19 23:30:50+00:00,85481,42593,15597
2020-05-20 23:30:51+00:00,85775,43442,15662
2020-05-21 23:30:51+00:00,86091,43649,15727
2020-05-22 23:30:51+00:00,86384,44667,15784
2020-05-23 23:30:54+00:00,86825,45355,15840
2020-05-24 23:30:54+00:00,87110,45656,15840
2020-05-25 23:30:53+00:00,87258,46169,15874
2020-05-26 23:30:54+00:00,87417,47044,15896
2020-05-27 23:30:56+00:00,87801,47810,15954
2020-05-28 23:30:54+00:00,88183,49296,15974
2020-05-29 23:30:58+00:00,88537,49842,16012
2020-05-30 03:00:54+00:00,88537,49842,16012
2020-05-31 23:30:53+00:00,88968,51860,16112
2020-06-01 23:31:02+00:00,89018,52026,16131
2020-06-02 18:00:57+00:00,89205,52807,16143
2020-06-03 23:30:59+00:00,89442,53046,16172
2020-06-04 23:31:07+00:00,89526,53101,16201
2020-06-05 23:30:59+00:00,89928,53853,16222
2020-06-06 23:31:00+00:00,90070,54322,16249
2020-06-07 23:31:01+00:00,90195,54505,16270
2020-06-08 23:31:14+00:00,90389,54768,16302
2020-06-09 23:31:08+00:00,90581,55967,16317
2020-06-10 23:31:07+00:00,90680,56474,16349
2020-06-11 23:31:14+00:00,90932,57218,16374
2020-06-12 23:31:06+00:00,91204,57775,16405
2020-06-13 23:31:07+00:00,91414,58201,16428
2020-06-14 23:31:09+00:00,91658,59220,16449
2020-06-15 07:01:07+00:00,91658,59220,16449
