time,confirmed,recovered,deaths
2020-03-01 11:00:00-03:00,0,0,0
2020-03-02 11:00:00-03:00,0,0,0
2020-03-03 11:00:00-03:00,0,0,0
2020-03-04 11:00:00-03:00,0,0,0
2020-03-05 11:00:00-03:00,0,0,0
2020-03-06 11:00:00-03:00,0,0,0
2020-03-07 11:00:00-03:00,1,0,0
2020-03-08 11:00:00-03:00,1,0,0
2020-03-09 11:00:00-03:00,1,0,0
2020-03-10 11:00:00-03:00,1,0,0
2020-03-11 11:00:00-03:00,1,0,0
2020-03-12 11:00:00-03:00,1,0,0
2020-03-13 11:00:00-03:00,1,0,0
2020-03-14 11:00:00-03:00,1,0,0
2020-03-15 11:00:00-03:00,1,0,0
2020-03-16 11:00:00-03:00,1,0,0
2020-03-17 11:00:00-03:00,1,0,0
2020-03-18 11:00:00-03:00,8,0,0
2020-03-19 11:00:00-03:00,16,0,0
2020-03-20 11:00:00-03:00,18,0,0
2020-03-21 11:00:00-03:00,20,0,0
2020-03-22 11:00:00-03:00,23,0,0
2020-03-23 11:00:00-03:00,33,0,0
2020-03-24 11:00:00-03:00,36,0,0
2020-03-25 11:00:00-03:00,44,0,0
2020-03-26 11:00:00-03:00,60,0,0
2020-03-27 11:00:00-03:00,63,0,0
2020-03-28 11:00:00-03:00,93,0,0
2020-03-29 11:00:00-03:00,104,0,0
2020-03-30 23:31:28+00:00,128,0,0
2020-03-31 23:30:29+00:00,151,0,0
2020-04-01 16:30:26+00:00,181,0,0
2020-04-04 23:30:30+00:00,259,0,0
2020-04-05 23:30:31+00:00,276,0,1
2020-04-06 23:30:29+00:00,286,0,2
2020-04-07 23:30:29+00:00,299,0,2
2020-04-08 23:30:30+00:00,325,0,2
2020-04-09 15:30:30+00:00,340,0,2
2020-04-12 23:30:35+00:00,372,0,5
2020-04-13 23:30:35+00:00,380,0,5
2020-04-14 23:30:35+00:00,385,0,5
2020-04-15 23:30:37+00:00,390,0,5
2020-04-16 23:30:35+00:00,399,0,5
2020-04-17 23:30:38+00:00,412,0,6
2020-04-18 23:30:34+00:00,416,0,6
2020-04-19 23:30:38+00:00,421,0,6
2020-04-20 15:30:37+00:00,424,0,6
2020-04-23 23:30:40+00:00,454,0,7
2020-04-24 23:30:38+00:00,460,0,8
2020-04-25 23:30:41+00:00,465,0,8
2020-04-26 23:30:42+00:00,473,0,8
2020-04-27 22:30:44+00:00,477,0,8
