time,confirmed,recovered,deaths
2020-03-01 11:00:00-03:00,0,0,0
2020-03-02 11:00:00-03:00,0,0,0
2020-03-03 11:00:00-03:00,0,0,0
2020-03-04 11:00:00-03:00,0,0,0
2020-03-05 11:00:00-03:00,0,0,0
2020-03-06 11:00:00-03:00,0,0,0
2020-03-07 11:00:00-03:00,0,0,0
2020-03-08 11:00:00-03:00,0,0,0
2020-03-09 11:00:00-03:00,0,0,0
2020-03-10 11:00:00-03:00,0,0,0
2020-03-11 11:00:00-03:00,0,0,0
2020-03-12 11:00:00-03:00,0,0,0
2020-03-13 11:00:00-03:00,0,0,0
2020-03-14 11:00:00-03:00,0,0,0
2020-03-15 11:00:00-03:00,0,0,0
2020-03-16 11:00:00-03:00,1,0,0
2020-03-17 11:00:00-03:00,1,0,0
2020-03-18 11:00:00-03:00,1,0,0
2020-03-19 11:00:00-03:00,1,0,0
2020-03-20 11:00:00-03:00,1,0,0
2020-03-21 11:00:00-03:00,1,0,0
2020-03-22 11:00:00-03:00,1,0,0
2020-03-23 11:00:00-03:00,4,0,0
2020-03-24 11:00:00-03:00,6,0,0
2020-03-25 11:00:00-03:00,11,0,0
2020-03-26 11:00:00-03:00,14,0,0
2020-03-27 11:00:00-03:00,22,0,0
2020-03-28 11:00:00-03:00,27,0,0
2020-03-29 11:00:00-03:00,40,0,0
2020-03-30 23:31:28+00:00,47,0,0
2020-03-31 23:30:29+00:00,58,0,0
2020-04-01 16:30:26+00:00,64,0,1
2020-04-04 23:30:30+00:00,89,0,1
2020-04-05 23:30:31+00:00,99,0,1
2020-04-06 23:30:29+00:00,104,0,1
2020-04-07 23:30:29+00:00,109,0,2
2020-04-08 23:30:30+00:00,114,0,2
2020-04-09 15:30:30+00:00,118,0,2
2020-04-12 23:30:35+00:00,135,0,3
2020-04-13 23:30:35+00:00,138,0,3
2020-04-14 23:30:35+00:00,148,0,3
2020-04-15 23:30:37+00:00,150,0,3
2020-04-16 23:30:35+00:00,153,0,3
2020-04-17 06:00:35+00:00,153,0,3
