time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,2569,8,203
2020-03-24 23:30:19+00:00,2736,8,231
2020-03-25 23:30:08+00:00,2934,8,287
2020-03-26 23:29:29+00:00,3114,9,310
2020-03-27 23:58:58+00:00,3196,10,364
2020-03-28 23:30:22+00:00,3373,10,364
2020-03-29 23:30:26+00:00,3558,12,386
2020-03-30 23:31:26+00:00,3684,16,417
2020-03-31 23:30:28+00:00,3825,21,452
2020-04-01 16:30:25+00:00,3962,29,477
2020-04-04 23:30:28+00:00,4341,270,574
2020-04-05 23:30:30+00:00,4464,287,599
2020-04-06 17:30:26+00:00,4614,296,612
