time,confirmed,recovered,deaths
2020-03-01 11:00:00-03:00,0,0,0
2020-03-02 11:00:00-03:00,1,0,0
2020-03-03 11:00:00-03:00,2,0,0
2020-03-04 11:00:00-03:00,2,0,0
2020-03-05 11:00:00-03:00,2,0,0
2020-03-06 11:00:00-03:00,2,0,0
2020-03-07 11:00:00-03:00,3,0,0
2020-03-08 11:00:00-03:00,4,0,0
2020-03-09 11:00:00-03:00,4,0,0
2020-03-10 11:00:00-03:00,5,0,0
2020-03-11 11:00:00-03:00,7,0,0
2020-03-12 11:00:00-03:00,7,0,0
2020-03-13 11:00:00-03:00,8,0,0
2020-03-14 11:00:00-03:00,9,0,0
2020-03-15 11:00:00-03:00,9,0,0
2020-03-16 11:00:00-03:00,9,0,0
2020-03-17 11:00:00-03:00,9,0,0
2020-03-18 11:00:00-03:00,11,0,0
2020-03-19 11:00:00-03:00,14,0,0
2020-03-20 11:00:00-03:00,14,0,0
2020-03-21 11:00:00-03:00,15,0,0
2020-03-22 11:00:00-03:00,25,0,0
2020-03-23 11:00:00-03:00,28,0,0
2020-03-24 11:00:00-03:00,29,0,0
2020-03-25 11:00:00-03:00,30,0,0
2020-03-26 11:00:00-03:00,31,0,0
2020-03-27 11:00:00-03:00,32,0,0
2020-03-28 11:00:00-03:00,37,0,0
2020-03-29 11:00:00-03:00,42,0,0
2020-03-30 11:00:00-03:00,54,0,1
