time,confirmed,recovered,deaths
2020-03-01 11:00:00-03:00,0,0,0
2020-03-02 11:00:00-03:00,0,0,0
2020-03-03 11:00:00-03:00,0,0,0
2020-03-04 11:00:00-03:00,2,0,0
2020-03-05 11:00:00-03:00,4,0,0
2020-03-06 11:00:00-03:00,4,0,0
2020-03-07 11:00:00-03:00,4,0,0
2020-03-08 11:00:00-03:00,5,0,0
2020-03-09 11:00:00-03:00,7,0,0
2020-03-10 11:00:00-03:00,10,0,0
2020-03-11 11:00:00-03:00,14,0,0
2020-03-12 11:00:00-03:00,23,0,0
2020-03-13 11:00:00-03:00,29,0,0
2020-03-14 11:00:00-03:00,40,0,0
2020-03-15 11:00:00-03:00,54,0,0
2020-03-16 11:00:00-03:00,123,0,0
2020-03-17 11:00:00-03:00,152,0,0
2020-03-18 11:00:00-03:00,174,0,0
2020-03-19 11:00:00-03:00,247,0,0
2020-03-20 11:00:00-03:00,304,0,0
2020-03-21 11:00:00-03:00,359,0,1
2020-03-22 11:00:00-03:00,409,0,1
2020-03-23 11:00:00-03:00,459,0,2
2020-03-24 11:00:00-03:00,540,0,2
2020-03-25 11:00:00-03:00,682,0,2
2020-03-26 11:00:00-03:00,746,0,3
2020-03-27 11:00:00-03:00,938,0,3
2020-03-28 11:00:00-03:00,1084,0,3
2020-03-29 11:00:00-03:00,1167,0,3
2020-03-30 11:00:00-03:00,1295,0,3
