time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,67,10,7
2020-03-24 23:30:19+00:00,73,10,8
2020-03-25 23:30:08+00:00,73,12,8
2020-03-26 23:29:29+00:00,103,14,8
2020-03-27 23:58:58+00:00,109,14,9
2020-03-28 23:30:22+00:00,123,16,9
2020-03-29 23:30:26+00:00,127,18,9
2020-03-30 23:31:26+00:00,134,18,9
2020-03-31 23:30:28+00:00,144,18,9
2020-04-01 16:30:25+00:00,160,19,10
2020-04-04 23:30:28+00:00,206,24,11
2020-04-05 23:30:30+00:00,224,24,13
2020-04-06 23:30:28+00:00,224,24,13
2020-04-07 23:30:27+00:00,224,26,13
2020-04-08 23:30:29+00:00,226,32,13
2020-04-09 08:00:29+00:00,226,32,13
2020-04-12 23:30:33+00:00,257,40,15
2020-04-13 16:00:37+00:00,257,40,15
2020-04-15 23:30:35+00:00,263,42,15
2020-04-16 23:30:34+00:00,263,44,16
2020-04-17 23:30:36+00:00,269,45,16
2020-04-18 23:30:33+00:00,269,45,16
2020-04-19 23:30:37+00:00,279,47,17
2020-04-20 23:30:40+00:00,281,50,18
2020-04-21 23:30:37+00:00,282,51,18
2020-04-22 23:30:36+00:00,284,60,19
2020-04-23 23:30:39+00:00,284,66,20
2020-04-24 23:30:37+00:00,287,67,20
2020-04-25 23:30:39+00:00,292,73,21
2020-04-26 23:30:40+00:00,296,75,21
2020-04-27 23:30:37+00:00,296,75,21
2020-04-28 23:30:49+00:00,297,81,21
2020-04-29 23:30:51+00:00,297,83,21
2020-04-30 23:30:57+00:00,298,87,21
2020-05-01 23:30:42+00:00,300,89,21
2020-05-02 11:01:09+00:00,300,21,190
2020-05-03 23:30:48+00:00,301,98,22
2020-05-04 13:30:44+00:00,301,98,22
