time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,5094,17,315
2020-03-24 23:30:19+00:00,5767,17,374
2020-03-25 23:30:08+00:00,6024,19,449
2020-03-26 23:29:29+00:00,6534,135,499
2020-03-27 23:58:58+00:00,7228,176,598
2020-03-28 23:30:22+00:00,7671,203,617
2020-03-29 23:30:26+00:00,8461,254,684
2020-03-30 23:31:26+00:00,8835,308,749
2020-03-31 23:30:28+00:00,9418,365,854
2020-04-01 16:30:25+00:00,9795,439,886
2020-04-04 23:30:28+00:00,11839,888,1128
2020-04-05 23:30:30+00:00,12442,1017,1168
2020-04-06 16:00:28+00:00,12442,1017,1168
