time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,906,7,37
2020-03-24 23:30:19+00:00,1005,21,44
2020-03-25 23:30:08+00:00,1093,22,48
2020-03-26 23:29:29+00:00,1182,22,65
2020-03-27 23:58:58+00:00,1334,29,69
2020-03-28 23:30:22+00:00,1458,29,71
2020-03-29 23:30:26+00:00,1549,31,86
2020-03-30 23:31:26+00:00,1712,36,91
2020-03-31 23:30:28+00:00,1803,39,110
2020-04-01 16:30:25+00:00,1946,61,129
2020-04-04 23:30:28+00:00,2240,94,173
2020-04-05 23:30:30+00:00,2317,113,182
2020-04-06 23:30:28+00:00,2444,134,195
2020-04-07 23:30:27+00:00,2514,168,209
2020-04-08 23:30:29+00:00,2634,177,219
2020-04-09 08:00:29+00:00,2634,177,219
2020-04-12 23:30:33+00:00,2989,277,260
2020-04-13 16:00:37+00:00,3065,286,267
2020-04-15 23:30:35+00:00,3184,323,288
2020-04-16 23:30:34+00:00,3258,334,299
2020-04-17 23:30:36+00:00,3327,364,307
2020-04-18 23:30:33+00:00,3409,401,314
2020-04-19 23:30:37+00:00,3529,427,316
2020-04-20 23:30:40+00:00,3567,431,326
2020-04-21 23:30:37+00:00,3622,459,351
2020-04-22 23:30:36+00:00,3730,494,362
2020-04-23 23:30:39+00:00,3839,531,372
2020-04-24 23:30:37+00:00,3881,565,383
2020-04-25 23:30:39+00:00,3912,602,391
2020-04-26 23:30:40+00:00,3948,612,399
2020-04-27 23:30:37+00:00,3958,641,405
2020-04-28 23:30:49+00:00,3980,654,407
2020-04-29 23:30:51+00:00,4029,692,410
2020-04-30 23:30:57+00:00,4072,708,415
2020-05-01 23:30:42+00:00,4099,731,421
2020-05-02 11:01:09+00:00,4099,421,2947
2020-05-03 23:30:48+00:00,4144,765,424
2020-05-04 23:30:46+00:00,4153,779,429
2020-05-05 23:30:53+00:00,4170,798,433
2020-05-06 23:30:54+00:00,4196,855,438
2020-05-07 23:30:49+00:00,4245,1004,441
2020-05-08 23:30:52+00:00,4256,1080,443
2020-05-09 23:30:46+00:00,4286,1114,443
2020-05-10 23:30:41+00:00,4313,1196,448
2020-05-11 23:30:41+00:00,4327,1332,451
2020-05-12 23:31:01+00:00,4337,1460,456
2020-05-13 23:30:46+00:00,4348,1566,460
2020-05-14 23:30:46+00:00,4357,1643,461
2020-05-15 23:30:59+00:00,4366,1724,461
2020-05-16 23:30:45+00:00,4374,1807,463
2020-05-17 23:30:56+00:00,4379,1892,470
2020-05-18 23:30:51+00:00,4386,1920,471
2020-05-19 23:30:50+00:00,4396,1982,473
2020-05-20 23:30:51+00:00,4407,2027,478
2020-05-21 23:30:51+00:00,4413,2096,478
2020-05-22 23:30:51+00:00,4440,2120,482
2020-05-23 23:30:54+00:00,4448,2157,486
2020-05-24 23:30:54+00:00,4458,2178,487
2020-05-25 23:30:53+00:00,4467,2298,491
2020-05-26 23:30:54+00:00,4469,2436,494
2020-05-27 23:30:56+00:00,4479,2471,495
2020-05-28 23:30:54+00:00,4481,2590,496
2020-05-29 23:30:58+00:00,4482,2699,500
2020-05-30 03:00:54+00:00,4482,2699,500
2020-05-31 23:30:53+00:00,4494,2813,504
2020-06-01 23:31:02+00:00,4498,2837,506
2020-06-02 18:00:57+00:00,4498,2939,508
2020-06-03 23:30:59+00:00,4499,2952,511
2020-06-04 23:31:07+00:00,4503,3022,514
2020-06-05 23:30:59+00:00,4507,3140,521
2020-06-06 23:31:00+00:00,4511,3231,522
2020-06-07 23:31:01+00:00,4511,3253,525
2020-06-08 23:31:14+00:00,4512,3289,525
2020-06-09 23:31:08+00:00,4512,3373,526
2020-06-10 23:31:07+00:00,4512,3426,529
2020-06-11 23:31:14+00:00,4513,3516,530
2020-06-12 23:31:06+00:00,4515,3544,532
2020-06-13 00:01:12+00:00,4515,3544,532
