time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,367,5,11
2020-03-24 23:30:19+00:00,421,11,15
2020-03-25 23:30:08+00:00,442,12,18
2020-03-26 23:29:29+00:00,494,13,19
2020-03-27 23:58:58+00:00,530,13,21
2020-03-28 23:30:22+00:00,624,29,26
2020-03-29 23:30:26+00:00,638,29,27
2020-03-30 23:31:26+00:00,682,32,28
2020-03-31 23:30:28+00:00,722,34,31
2020-04-01 16:30:25+00:00,745,36,34
2020-04-04 23:30:28+00:00,874,44,41
2020-04-05 23:30:30+00:00,907,49,43
2020-04-06 23:30:28+00:00,922,56,47
2020-04-07 23:30:27+00:00,935,62,52
2020-04-08 23:30:29+00:00,975,76,59
2020-04-09 08:00:29+00:00,975,76,59
2020-04-12 23:30:33+00:00,1113,137,73
2020-04-13 16:00:37+00:00,1128,139,75
2020-04-15 23:30:35+00:00,1161,208,83
2020-04-16 23:30:34+00:00,1164,214,85
2020-04-17 23:30:36+00:00,1178,220,86
2020-04-18 23:30:33+00:00,1198,231,86
2020-04-19 23:30:37+00:00,1215,265,86
2020-04-20 23:30:40+00:00,1228,288,86
2020-04-21 23:30:37+00:00,1236,306,93
2020-04-22 23:30:36+00:00,1247,318,96
2020-04-23 23:30:39+00:00,1254,339,98
2020-04-24 23:30:37+00:00,1257,351,102
2020-04-25 23:30:39+00:00,1271,374,103
2020-04-26 23:30:40+00:00,1280,388,109
2020-04-27 23:30:37+00:00,1283,398,109
2020-04-28 23:30:49+00:00,1285,404,109
2020-04-29 23:30:51+00:00,1290,413,116
2020-04-30 23:30:57+00:00,1295,435,116
2020-05-01 23:30:42+00:00,1313,452,117
2020-05-02 11:01:09+00:00,1313,117,744
2020-05-03 23:30:48+00:00,1319,511,119
2020-05-04 23:30:46+00:00,1319,511,119
2020-05-05 23:30:53+00:00,1319,511,119
2020-05-06 23:30:54+00:00,1319,577,119
2020-05-07 23:30:49+00:00,1324,622,119
2020-05-08 23:30:52+00:00,1330,658,119
2020-05-09 23:30:46+00:00,1334,665,119
2020-05-10 23:30:41+00:00,1340,705,120
2020-05-11 23:30:41+00:00,1343,712,120
2020-05-12 23:31:01+00:00,1344,718,120
2020-05-13 23:30:46+00:00,1345,734,120
2020-05-14 23:30:46+00:00,1345,755,125
2020-05-15 23:30:59+00:00,1348,762,125
2020-05-16 23:30:45+00:00,1352,812,125
2020-05-17 23:30:56+00:00,1353,823,125
2020-05-18 23:30:51+00:00,1353,847,126
2020-05-19 23:30:50+00:00,1354,887,126
2020-05-20 23:30:51+00:00,1355,898,126
2020-05-21 23:30:51+00:00,1356,911,127
2020-05-22 23:30:51+00:00,1356,922,128
2020-05-23 23:30:54+00:00,1356,940,129
2020-05-24 23:30:54+00:00,1356,982,129
2020-05-25 23:30:53+00:00,1356,982,129
2020-05-26 23:30:54+00:00,1356,982,129
2020-05-27 23:30:56+00:00,1356,982,129
2020-05-28 23:30:54+00:00,1356,982,129
2020-05-29 23:30:58+00:00,1356,1036,130
2020-05-30 03:00:54+00:00,1356,1036,130
2020-05-31 23:30:53+00:00,1356,1041,130
2020-06-01 23:31:02+00:00,1357,1065,131
2020-06-02 18:00:57+00:00,1357,1071,131
2020-06-03 23:30:59+00:00,1357,1080,131
2020-06-04 23:31:07+00:00,1357,1118,131
2020-06-05 23:30:59+00:00,1359,1161,131
2020-06-06 23:31:00+00:00,1362,1171,131
2020-06-07 23:31:01+00:00,1362,1172,131
2020-06-08 23:31:14+00:00,1362,1175,131
2020-06-09 23:31:08+00:00,1362,1175,131
2020-06-10 06:01:03+00:00,1362,1175,131
