time,confirmed,recovered,deaths
2020-02-27 16:00:00+09:00,56,9,0
2020-02-28 16:00:00+09:00,62,9,0
2020-02-29 16:00:00+09:00,77,11,0
2020-03-01 16:00:00+09:00,87,13,0
2020-03-11 00:00:00+09:00,193,37,0
2020-03-12 00:00:00+09:00,212,38,0
2020-03-13 00:00:00+09:00,225,40,0
2020-03-14 00:00:00+09:00,238,44,0
2020-03-15 00:00:00+09:00,247,47,0
2020-03-16 00:00:00+09:00,253,52,0
2020-03-17 00:00:00+09:00,265,55,0
2020-03-18 00:00:00+09:00,270,55,0
2020-03-19 00:00:00+09:00,282,58,0
2020-03-20 00:00:00+09:00,299,64,0
2020-03-21 00:00:00+09:00,314,64,0
2020-03-22 00:00:00+09:00,324,64,0
2020-03-23 00:00:00+09:00,330,64,0
2020-03-24 00:00:00+09:00,334,72,0
2020-03-25 00:00:00+09:00,347,72,0
2020-03-26 00:00:00+09:00,360,80,0
2020-03-27 00:00:00+09:00,372,89,0
2020-03-28 00:00:00+09:00,390,93,0
2020-03-29 00:00:00+09:00,410,93,0
2020-03-30 00:00:00+09:00,426,92,0
2020-03-31 00:00:00+09:00,450,107,0
2020-04-01 00:00:00+09:00,474,117,0
2020-04-02 00:00:00+09:00,488,127,0
2020-04-03 00:00:00+09:00,506,131,0
2020-04-04 00:00:00+09:00,528,144,0
2020-04-05 00:00:00+09:00,552,145,0
2020-04-06 00:00:00+09:00,563,151,0
2020-04-07 00:00:00+09:00,567,164,0
2020-04-08 00:00:00+09:00,578,169,2
2020-04-09 00:00:00+09:00,590,174,2
2020-04-10 00:00:00+09:00,595,2,25
2020-04-11 00:00:00+09:00,599,2,23
2020-04-12 00:00:00+09:00,602,2,20
2020-04-13 00:00:00+09:00,610,2,20
2020-04-14 00:00:00+09:00,612,2,20
2020-04-15 00:00:00+09:00,617,2,17
2020-04-16 00:00:00+09:00,619,2,16
2020-04-17 00:00:00+09:00,621,2,15
2020-04-18 00:00:00+09:00,622,2,15
2020-04-19 00:00:00+09:00,624,2,12
2020-04-20 00:00:00+09:00,624,2,14
2020-04-21 00:00:00+09:00,626,2,14
2020-04-22 00:00:00+09:00,628,2,16
2020-04-23 00:00:00+09:00,628,2,16
2020-04-24 00:00:00+09:00,628,2,17
2020-04-25 00:00:00+09:00,629,2,17
2020-04-26 00:00:00+09:00,629,2,18
2020-04-27 00:00:00+09:00,629,2,17
2020-04-28 00:00:00+09:00,633,2,18
2020-04-29 00:00:00+09:00,633,2,18
2020-04-30 00:00:00+09:00,633,2,18
2020-05-01 00:00:00+09:00,634,2,18
2020-05-02 00:00:00+09:00,635,2,18
2020-05-03 00:00:00+09:00,637,2,18
2020-05-04 00:00:00+09:00,637,2,18
2020-05-05 00:00:00+09:00,637,2,18
2020-05-06 00:00:00+09:00,637,2,16
2020-05-07 00:00:00+09:00,637,2,15
2020-05-08 00:00:00+09:00,637,2,14
2020-05-09 00:00:00+09:00,649,2,13
2020-05-10 00:00:00+09:00,663,2,13
2020-05-11 00:00:00+09:00,683,2,13
2020-05-12 00:00:00+09:00,695,2,13
2020-05-13 00:00:00+09:00,707,3,15
2020-05-14 00:00:00+09:00,711,4,14
2020-05-15 00:00:00+09:00,725,4,14
2020-05-16 00:00:00+09:00,730,4,11
2020-05-17 00:00:00+09:00,735,4,11
2020-05-18 00:00:00+09:00,736,4,11
2020-05-19 00:00:00+09:00,742,4,11
2020-05-20 00:00:00+09:00,752,4,10
2020-05-21 00:00:00+09:00,756,4,10
2020-05-22 00:00:00+09:00,758,4,10
2020-05-23 00:00:00+09:00,762,4,10
2020-05-24 00:00:00+09:00,768,4,10
2020-05-25 00:00:00+09:00,774,4,10
2020-05-26 00:00:00+09:00,783,4,10
2020-05-27 00:00:00+09:00,802,4,6
2020-05-28 00:00:00+09:00,826,4,6
2020-05-29 00:00:00+09:00,846,4,6
2020-05-30 00:00:00+09:00,855,4,5
2020-05-31 00:00:00+09:00,861,4,6
2020-06-01 00:00:00+09:00,862,4,6
2020-06-02 00:00:00+09:00,876,4,6
2020-06-03 00:00:00+09:00,895,4,6
2020-06-04 00:00:00+09:00,909,4,6
2020-06-05 00:00:00+09:00,924,4,6
2020-06-07 00:00:00+09:00,974,4,4
2020-06-08 00:00:00+09:00,996,4,3
2020-06-09 00:00:00+09:00,1015,4,3
2020-06-10 00:00:00+09:00,1027,4,3
2020-06-11 00:00:00+09:00,1048,4,3
2020-06-12 00:00:00+09:00,1073,4,3
