time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,721,27,13
2020-03-24 23:30:19+00:00,846,27,20
2020-03-25 23:30:08+00:00,994,33,25
2020-03-26 23:29:29+00:00,1164,36,33
2020-03-27 23:58:58+00:00,1250,53,39
2020-03-28 23:30:22+00:00,1359,60,57
2020-03-29 23:30:26+00:00,1460,65,65
2020-03-30 23:31:26+00:00,1555,71,76
2020-03-31 23:30:28+00:00,1647,74,81
2020-04-01 16:30:25+00:00,1718,86,88
2020-04-04 23:30:28+00:00,1932,95,111
2020-04-05 23:30:30+00:00,1994,104,116
2020-04-06 23:30:28+00:00,2046,108,123
2020-04-07 23:30:27+00:00,2097,113,125
2020-04-08 23:30:29+00:00,2159,133,133
2020-04-09 08:00:29+00:00,2159,133,133
2020-04-12 23:30:33+00:00,2416,223,163
2020-04-13 16:00:37+00:00,2458,237,171
2020-04-15 23:30:35+00:00,2535,273,181
2020-04-16 23:30:34+00:00,2579,284,187
2020-04-17 23:30:36+00:00,2625,296,190
2020-04-18 23:30:33+00:00,2672,305,196
2020-04-19 23:30:37+00:00,2717,315,200
2020-04-20 23:30:40+00:00,2759,346,203
2020-04-21 23:30:37+00:00,2835,370,206
2020-04-22 23:30:36+00:00,2883,388,208
2020-04-23 23:30:39+00:00,2926,412,213
2020-04-24 23:30:37+00:00,2981,443,218
2020-04-25 23:30:39+00:00,3020,524,224
2020-04-26 23:30:40+00:00,3055,720,228
2020-04-27 23:30:37+00:00,3085,731,231
2020-04-28 06:00:45+00:00,3085,731,231
