time,confirmed,recovered,deaths
2020-02-27 16:00:00+09:00,1766,26,13
2020-02-28 09:00:00+09:00,2022,26,13
2020-02-28 16:00:00+09:00,2337,27,13
2020-02-29 09:00:00+09:00,2931,27,16
2020-02-29 16:00:00+09:00,3150,28,17
2020-03-01 09:00:00+09:00,3526,30,17
2020-03-01 16:00:00+09:00,3736,30,18
2020-03-02 00:00:00+09:00,4212,31,22
2020-03-03 00:00:00+09:00,4812,34,28
2020-03-04 00:00:00+09:00,5328,41,32
2020-03-05 00:00:00+09:00,5766,88,35
2020-03-06 00:00:00+09:00,6284,108,42
2020-03-07 00:00:00+09:00,6767,118,44
2020-03-08 00:00:00+09:00,7134,130,50
2020-03-09 00:00:00+09:00,7382,166,51
2020-03-10 00:00:00+09:00,7513,247,54
2020-03-11 00:00:00+09:00,7755,288,60
2020-03-12 00:00:00+09:00,7869,333,66
2020-03-13 00:00:00+09:00,7979,510,67
2020-03-14 00:00:00+09:00,8086,714,72
2020-03-15 00:00:00+09:00,8162,834,75
2020-03-16 00:00:00+09:00,8236,1137,75
2020-03-17 00:00:00+09:00,8320,1401,81
2020-03-18 00:00:00+09:00,8413,1540,84
2020-03-19 00:00:00+09:00,8565,1947,91
2020-03-20 00:00:00+09:00,8652,2233,94
2020-03-21 00:00:00+09:00,8799,2612,102
2020-03-22 00:00:00+09:00,8897,2909,104
2020-03-23 00:00:00+09:00,8961,3166,111
2020-03-24 00:00:00+09:00,9037,3507,120
2020-03-25 00:00:00+09:00,9137,3730,126
2020-03-26 00:00:00+09:00,9241,4144,131
2020-03-27 00:00:00+09:00,9332,4528,139
2020-03-28 00:00:00+09:00,9478,4811,144
2020-03-29 00:00:00+09:00,9583,5033,152
2020-03-30 00:00:00+09:00,9661,5228,158
2020-03-31 00:00:00+09:00,9786,5408,162
2020-04-01 00:00:00+09:00,9887,5567,165
2020-04-02 00:00:00+09:00,9976,5828,169
2020-04-03 00:00:00+09:00,10062,6021,174
2020-04-04 00:00:00+09:00,10156,6325,177
2020-04-05 00:00:00+09:00,10237,6463,183
2020-04-06 00:00:00+09:00,10284,6598,186
2020-04-07 00:00:00+09:00,10331,6694,192
2020-04-08 00:00:00+09:00,10384,6776,200
2020-04-09 00:00:00+09:00,10423,6973,204
2020-04-10 00:00:00+09:00,10450,7117,208
2020-04-11 00:00:00+09:00,10480,7243,211
2020-04-12 00:00:00+09:00,10512,7368,214
2020-04-13 00:00:00+09:00,10537,7447,217
2020-04-14 00:00:00+09:00,10564,7534,222
2020-04-15 00:00:00+09:00,10591,7616,225
2020-04-16 00:00:00+09:00,10613,7757,229
2020-04-17 00:00:00+09:00,10635,7829,230
2020-04-18 00:00:00+09:00,10653,7937,232
2020-04-19 00:00:00+09:00,10661,8042,234
2020-04-20 00:00:00+09:00,10674,8114,236
2020-04-21 00:00:00+09:00,10683,8213,237
2020-04-22 00:00:00+09:00,10694,8277,238
2020-04-23 00:00:00+09:00,10702,8411,240
2020-04-24 00:00:00+09:00,10708,8501,240
2020-04-25 00:00:00+09:00,10718,8635,240
2020-04-26 00:00:00+09:00,10728,8717,242
2020-04-27 00:00:00+09:00,10738,8764,243
2020-04-28 00:00:00+09:00,10752,8854,244
2020-04-29 00:00:00+09:00,10761,8922,246
2020-04-30 00:00:00+09:00,10765,9059,247
2020-05-01 00:00:00+09:00,10774,9072,248
2020-05-02 00:00:00+09:00,10780,9123,250
2020-05-03 00:00:00+09:00,10793,9183,250
2020-05-04 00:00:00+09:00,10801,9217,252
2020-05-31 00:00:00+09:00,11468,10405,270
2020-06-01 00:00:00+09:00,11503,10422,271
2020-06-02 00:00:00+09:00,11541,10446,272
2020-06-03 00:00:00+09:00,11590,10467,273
2020-06-04 00:00:00+09:00,11629,10499,273
2020-06-05 00:00:00+09:00,11668,10506,273
2020-06-06 00:00:00+09:00,11719,10531,273
2020-06-07 00:00:00+09:00,11776,10552,273
2020-06-08 00:00:00+09:00,11814,10563,273
2020-06-09 00:00:00+09:00,11852,10589,274
2020-06-10 00:00:00+09:00,11902,10611,276
2020-06-11 00:00:00+09:00,11947,10654,276
2020-06-12 00:00:00+09:00,12003,10669,277
2020-06-13 00:00:00+09:00,12051,10691,277
