time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,2461,51,109
2020-03-24 23:30:19+00:00,2699,51,129
2020-03-25 23:30:08+00:00,2972,54,142
2020-03-26 23:29:29+00:00,3226,95,158
2020-03-27 23:58:58+00:00,3450,103,177
2020-03-28 23:30:22+00:00,3817,108,198
2020-03-29 23:30:26+00:00,4122,121,215
2020-03-30 23:31:26+00:00,4412,131,231
2020-03-31 23:30:28+00:00,4608,138,244
2020-04-01 16:30:25+00:00,4867,182,253
2020-04-04 23:30:28+00:00,5672,300,290
2020-04-05 23:30:30+00:00,5847,337,325
2020-04-06 23:30:28+00:00,6001,350,350
2020-04-07 23:30:27+00:00,6173,377,369
2020-04-08 23:30:29+00:00,6379,430,392
2020-04-09 08:00:29+00:00,6379,430,392
2020-04-12 23:30:33+00:00,7235,578,495
2020-04-13 16:00:37+00:00,7390,615,518
2020-04-15 23:30:35+00:00,7666,693,556
2020-04-16 23:30:34+00:00,7943,745,585
2020-04-17 23:30:36+00:00,8110,925,602
2020-04-18 23:30:33+00:00,8237,1149,618
2020-04-19 23:30:37+00:00,8372,1239,637
2020-04-20 23:30:40+00:00,8507,1272,667
2020-04-21 23:30:37+00:00,8603,1295,686
2020-04-22 23:30:36+00:00,8700,1828,705
2020-04-23 23:30:39+00:00,8780,1886,723
2020-04-24 23:30:37+00:00,8877,2002,742
2020-04-25 23:30:39+00:00,9015,2109,760
2020-04-26 23:30:40+00:00,9147,2300,778
2020-04-27 23:30:37+00:00,9179,2401,795
2020-04-28 23:30:49+00:00,9231,2524,811
2020-04-29 23:30:51+00:00,9292,2802,827
2020-04-30 23:30:57+00:00,9352,2926,842
2020-05-01 23:30:42+00:00,9445,3218,854
2020-05-02 11:01:09+00:00,9445,854,5373
2020-05-03 23:30:48+00:00,9563,3363,872
2020-05-04 23:30:46+00:00,9601,3441,881
2020-05-05 23:30:53+00:00,9631,3552,889
2020-05-06 23:30:54+00:00,9657,3670,899
2020-05-07 23:30:49+00:00,9683,4052,915
2020-05-08 23:30:52+00:00,9721,4199,930
2020-05-09 23:30:46+00:00,9745,4360,937
2020-05-10 23:30:41+00:00,9774,4685,942
2020-05-11 23:30:41+00:00,9787,4764,950
2020-05-12 23:31:01+00:00,9802,5002,959
2020-05-13 23:30:46+00:00,9829,5302,964
2020-05-14 23:30:46+00:00,9859,5498,973
2020-05-15 23:30:59+00:00,9883,5739,976
2020-05-16 23:30:45+00:00,9913,5991,979
2020-05-17 23:30:56+00:00,9948,6162,984
2020-05-18 23:30:51+00:00,9961,6399,989
2020-05-19 23:30:50+00:00,9968,6653,992
2020-05-20 23:30:51+00:00,9982,6867,998
2020-05-21 23:30:51+00:00,10000,7119,1004
2020-05-22 23:30:51+00:00,10035,7240,1009
2020-05-23 23:30:54+00:00,10047,7270,1011
2020-05-24 23:30:54+00:00,10062,7349,1013
2020-05-25 23:30:53+00:00,10067,7416,1015
2020-05-26 23:30:54+00:00,10070,7527,1021
2020-05-27 23:30:56+00:00,10082,7595,1027
2020-05-28 23:30:54+00:00,10086,7677,1029
2020-05-29 23:30:58+00:00,10088,7802,1031
2020-05-30 03:00:54+00:00,10088,7802,1031
2020-05-31 23:30:53+00:00,10104,7952,1041
2020-06-01 23:31:02+00:00,10107,7977,1048
2020-06-02 18:00:57+00:00,10117,8053,1053
2020-06-03 23:30:59+00:00,10121,8093,1055
2020-06-04 23:31:07+00:00,10122,8180,1059
2020-06-05 23:30:59+00:00,10129,8209,1063
2020-06-06 23:31:00+00:00,10134,8281,1068
2020-06-07 23:31:01+00:00,10135,8315,1070
2020-06-08 23:31:14+00:00,10144,8349,1074
2020-06-09 23:31:08+00:00,10145,8440,1077
2020-06-10 23:31:07+00:00,10148,8531,1078
2020-06-11 23:31:14+00:00,10158,8558,1079
2020-06-12 23:31:06+00:00,10165,8575,1080
2020-06-13 03:31:12+00:00,10165,8575,1080
