time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,1747,75,70
2020-03-24 23:30:19+00:00,1881,123,94
2020-03-25 23:30:08+00:00,2080,157,117
2020-03-26 23:29:29+00:00,2203,184,134
2020-03-27 23:58:58+00:00,2394,235,162
2020-03-28 23:30:22+00:00,2614,267,184
2020-03-29 23:30:26+00:00,2808,288,193
2020-03-30 23:31:26+00:00,3007,331,221
2020-03-31 23:30:28+00:00,3117,346,240
2020-04-01 16:30:25+00:00,3288,404,289
2020-04-04 23:30:28+00:00,3812,502,356
2020-04-05 23:30:30+00:00,3929,533,375
2020-04-06 23:30:28+00:00,4070,578,394
2020-04-07 23:30:27+00:00,4287,678,418
2020-04-08 23:30:29+00:00,4437,778,438
2020-04-09 08:00:29+00:00,4437,778,438
2020-04-12 23:30:33+00:00,5151,1110,498
2020-04-13 16:00:37+00:00,5275,1146,512
2020-04-15 23:30:35+00:00,5444,1223,541
2020-04-16 23:30:34+00:00,5444,1223,541
2020-04-17 23:30:36+00:00,5672,1524,576
2020-04-18 23:30:33+00:00,5756,1628,587
2020-04-19 23:30:37+00:00,5912,1770,605
2020-04-20 23:30:40+00:00,5984,1900,615
2020-04-21 23:30:37+00:00,6024,1952,627
2020-04-22 23:30:36+00:00,6062,2039,637
2020-04-23 23:30:39+00:00,6162,2154,643
2020-04-24 23:30:37+00:00,6232,2660,652
2020-04-25 23:30:39+00:00,6314,2870,665
2020-04-26 23:30:40+00:00,6375,3025,674
2020-04-27 23:30:37+00:00,6491,3167,677
2020-04-28 23:30:49+00:00,6523,3364,684
2020-04-29 23:30:51+00:00,6576,3578,690
2020-04-30 23:30:57+00:00,6634,3769,693
2020-05-01 23:30:42+00:00,6660,3909,701
2020-05-02 11:01:09+00:00,6660,701,2050
2020-05-03 23:30:48+00:00,6783,4161,710
2020-05-04 23:30:46+00:00,6799,4284,714
2020-05-05 23:30:53+00:00,6803,4431,719
2020-05-06 23:30:54+00:00,6823,4539,723
2020-05-07 23:30:49+00:00,6835,4650,724
2020-05-08 23:30:52+00:00,6843,4742,727
2020-05-09 23:30:46+00:00,6859,4828,728
2020-05-10 23:30:41+00:00,6864,4888,731
2020-05-11 23:30:41+00:00,6869,4954,733
2020-05-12 23:31:01+00:00,6875,5036,735
2020-05-13 23:30:46+00:00,6887,5165,736
2020-05-14 23:30:46+00:00,6893,5270,738
2020-05-15 23:30:59+00:00,6896,5390,741
2020-05-16 23:30:45+00:00,6904,5473,743
2020-05-17 23:30:56+00:00,6919,5561,743
2020-05-18 23:30:51+00:00,6933,5634,744
2020-05-19 23:30:50+00:00,6945,5687,746
2020-05-20 23:30:51+00:00,6955,5811,746
2020-05-21 23:30:51+00:00,6965,5903,746
2020-05-22 23:30:51+00:00,6978,5903,746
2020-05-23 23:30:54+00:00,6985,5903,747
2020-05-24 23:30:54+00:00,6997,5903,748
2020-05-25 23:30:53+00:00,6998,5903,749
2020-05-26 23:30:54+00:00,7008,5903,752
2020-05-27 23:30:56+00:00,7015,5903,753
2020-05-28 23:30:54+00:00,7020,5903,753
2020-05-29 23:30:58+00:00,7023,5903,753
2020-05-30 03:00:54+00:00,7023,5903,753
2020-05-31 23:30:53+00:00,7027,5903,753
2020-06-01 23:31:02+00:00,7030,5903,753
2020-06-02 18:00:57+00:00,7030,5903,754
2020-06-03 23:30:59+00:00,7031,5935,754
2020-06-04 23:31:07+00:00,7031,5956,756
2020-06-05 23:30:59+00:00,7032,6052,756
2020-06-06 23:31:00+00:00,7034,6074,756
2020-06-07 23:31:01+00:00,7038,6103,756
2020-06-08 23:31:14+00:00,7040,6106,756
2020-06-09 23:31:08+00:00,7043,6111,756
2020-06-10 23:31:07+00:00,7043,6113,756
2020-06-11 23:31:14+00:00,7047,6121,756
2020-06-12 03:31:10+00:00,7047,6121,756
