time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,577,5,16
2020-03-24 23:30:19+00:00,648,5,19
2020-03-25 23:30:08+00:00,710,5,19
2020-03-26 23:29:29+00:00,802,12,20
2020-03-27 23:58:58+00:00,884,39,21
2020-03-28 23:30:22+00:00,969,43,28
2020-03-29 23:30:26+00:00,1023,95,31
2020-03-30 23:31:26+00:00,1051,184,33
2020-03-31 23:30:28+00:00,1078,184,33
2020-04-01 16:30:25+00:00,1095,194,37
2020-04-04 23:30:28+00:00,1211,220,39
2020-04-05 23:30:30+00:00,1239,298,43
2020-04-06 23:30:28+00:00,1253,337,44
2020-04-07 23:30:27+00:00,1263,368,49
2020-04-08 23:30:29+00:00,1289,416,50
2020-04-09 08:00:29+00:00,1289,416,50
2020-04-12 23:30:33+00:00,1319,580,52
2020-04-13 16:00:37+00:00,1320,643,52
2020-04-15 23:30:35+00:00,1322,686,54
2020-04-16 23:30:34+00:00,1329,738,55
2020-04-17 23:30:36+00:00,1337,786,57
2020-04-18 23:30:33+00:00,1344,856,57
2020-04-19 23:30:37+00:00,1348,856,58
2020-04-20 23:30:40+00:00,1349,867,58
2020-04-21 23:30:37+00:00,1353,886,60
2020-04-22 23:30:36+00:00,1357,925,61
2020-04-23 23:30:39+00:00,1362,946,61
2020-04-24 23:30:37+00:00,1363,979,62
2020-04-25 23:30:39+00:00,1366,1006,63
2020-04-26 23:30:40+00:00,1368,1008,64
2020-04-27 23:30:37+00:00,1370,1018,65
2020-04-28 23:30:49+00:00,1379,1039,65
2020-04-29 23:30:51+00:00,1391,1064,66
2020-04-30 23:30:57+00:00,1392,1092,67
2020-05-01 23:30:42+00:00,1393,1121,68
2020-05-02 11:01:09+00:00,1393,68,204
2020-05-03 23:30:48+00:00,1394,1143,68
2020-05-04 23:30:46+00:00,1394,1143,70
2020-05-05 23:30:53+00:00,1400,1154,70
2020-05-06 23:30:54+00:00,1404,1163,70
2020-05-07 23:30:49+00:00,1405,1194,70
2020-05-08 23:30:52+00:00,1406,1216,71
2020-05-09 23:30:46+00:00,1407,1225,71
2020-05-10 23:30:41+00:00,1411,1227,71
2020-05-11 23:30:41+00:00,1412,1233,71
2020-05-12 23:31:01+00:00,1419,1239,71
2020-05-13 23:30:46+00:00,1419,1241,72
2020-05-14 23:30:46+00:00,1420,1255,73
2020-05-15 23:30:59+00:00,1422,1259,73
2020-05-16 23:30:45+00:00,1422,1268,73
2020-05-17 23:30:56+00:00,1424,1273,73
2020-05-18 23:30:51+00:00,1424,1274,73
2020-05-19 23:30:50+00:00,1427,1287,74
2020-05-20 23:30:51+00:00,1427,1287,74
2020-05-21 23:30:51+00:00,1429,1294,74
2020-05-22 23:30:51+00:00,1429,1296,74
2020-05-23 23:30:54+00:00,1430,1300,74
2020-05-24 23:30:54+00:00,1430,1302,75
2020-05-25 23:30:53+00:00,1430,1309,75
2020-05-26 23:30:54+00:00,1431,1314,75
2020-05-27 23:30:56+00:00,1431,1324,75
2020-05-28 23:30:54+00:00,1431,1324,75
2020-05-29 23:30:58+00:00,1431,1324,76
2020-05-30 03:00:54+00:00,1431,1324,76
2020-05-31 23:30:53+00:00,1431,1324,76
2020-06-01 23:31:02+00:00,1431,1324,76
2020-06-02 18:00:57+00:00,1431,1324,76
2020-06-03 23:30:59+00:00,1431,1324,76
2020-06-04 23:31:07+00:00,1431,1324,76
2020-06-05 23:30:59+00:00,1431,1326,76
2020-06-06 23:31:00+00:00,1431,1327,76
2020-06-07 23:31:01+00:00,1432,1327,76
2020-06-08 23:31:14+00:00,1432,1327,76
2020-06-09 23:31:08+00:00,1435,1330,76
2020-06-10 23:31:07+00:00,1436,1332,76
2020-06-11 23:31:14+00:00,1436,1334,76
2020-06-12 23:31:06+00:00,1436,1336,76
2020-06-13 13:01:07+00:00,1436,1336,76
