time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,393,2,12
2020-03-24 23:30:19+00:00,400,2,19
2020-03-25 23:30:08+00:00,401,2,24
2020-03-26 23:29:29+00:00,408,2,28
2020-03-27 23:58:58+00:00,457,2,39
2020-03-28 23:30:22+00:00,511,2,41
2020-03-29 23:30:26+00:00,584,2,43
2020-03-30 23:31:26+00:00,584,16,50
2020-03-31 23:30:28+00:00,628,20,56
2020-04-01 16:30:25+00:00,631,32,59
2020-04-04 23:30:28+00:00,748,106,82
2020-04-05 23:30:30+00:00,782,115,91
2020-04-06 23:30:28+00:00,805,142,96
2020-04-07 23:30:27+00:00,835,142,100
2020-04-08 23:30:29+00:00,850,142,102
2020-04-09 08:00:29+00:00,850,142,102
2020-04-12 23:30:33+00:00,921,221,112
2020-04-13 16:00:37+00:00,927,230,115
2020-04-15 23:30:35+00:00,958,289,121
2020-04-16 23:30:34+00:00,971,331,122
2020-04-17 23:30:36+00:00,993,379,123
2020-04-18 23:30:33+00:00,1073,400,124
2020-04-19 23:30:37+00:00,1088,401,125
2020-04-20 23:30:40+00:00,1088,413,127
2020-04-21 23:30:37+00:00,1093,445,127
2020-04-22 23:30:36+00:00,1095,467,127
2020-04-23 23:30:39+00:00,1096,506,127
2020-04-24 23:30:37+00:00,1100,617,129
2020-04-25 23:30:39+00:00,1100,657,130
2020-04-26 23:30:40+00:00,1106,721,131
2020-04-27 23:30:37+00:00,1111,743,133
2020-04-28 23:30:49+00:00,1119,775,135
2020-04-29 23:30:51+00:00,1124,852,137
2020-04-30 23:30:57+00:00,1128,902,137
2020-05-01 23:30:42+00:00,1133,904,137
2020-05-03 23:30:48+00:00,1142,904,138
2020-05-04 23:30:46+00:00,1143,904,139
2020-05-05 23:30:53+00:00,1143,904,139
2020-05-06 23:30:54+00:00,1146,904,139
2020-05-07 23:30:49+00:00,1150,904,139
2020-05-08 23:30:52+00:00,1151,904,139
2020-05-09 23:30:46+00:00,1152,904,139
2020-05-10 23:30:41+00:00,1157,905,139
2020-05-11 23:30:41+00:00,1158,912,139
2020-05-12 23:31:01+00:00,1160,916,140
2020-05-13 23:30:46+00:00,1163,929,141
2020-05-14 23:30:46+00:00,1166,945,141
2020-05-15 23:30:59+00:00,1172,953,142
2020-05-16 23:30:45+00:00,1173,956,142
2020-05-17 23:30:56+00:00,1173,962,143
2020-05-18 23:30:51+00:00,1174,971,143
2020-05-19 23:30:50+00:00,1175,983,143
2020-05-20 23:30:51+00:00,1175,986,143
2020-05-21 23:30:51+00:00,1176,990,143
2020-05-22 23:30:51+00:00,1177,991,143
2020-05-23 23:30:54+00:00,1177,999,143
2020-05-24 23:30:54+00:00,1178,1003,143
2020-05-25 23:30:53+00:00,1179,1003,143
2020-05-26 23:30:54+00:00,1181,1007,143
2020-05-27 23:30:56+00:00,1181,1011,143
2020-05-28 23:30:54+00:00,1182,1016,143
2020-05-29 23:30:58+00:00,1182,1020,143
2020-05-30 03:00:54+00:00,1182,1020,143
2020-05-31 23:30:53+00:00,1184,1026,143
2020-06-01 23:31:02+00:00,1187,1027,143
2020-06-02 18:00:57+00:00,1187,1031,143
2020-06-03 23:30:59+00:00,1187,1031,143
2020-06-04 23:31:07+00:00,1187,1034,143
2020-06-05 23:30:59+00:00,1187,1034,143
2020-06-06 23:31:00+00:00,1189,1034,144
2020-06-07 23:31:01+00:00,1191,1038,144
2020-06-08 23:31:14+00:00,1191,1039,144
2020-06-09 23:31:08+00:00,1191,1039,144
2020-06-10 23:31:07+00:00,1191,1041,144
2020-06-11 12:01:02+00:00,1191,1041,144
