time,confirmed,recovered,deaths
2020-03-23 23:30:09+00:00,5638,327,192
2020-03-24 23:30:19+00:00,6069,381,216
2020-03-25 23:30:08+00:00,6442,439,258
2020-03-26 23:29:29+00:00,6935,508,287
2020-03-27 23:58:58+00:00,7650,536,342
2020-03-28 23:30:22+00:00,7930,655,362
2020-03-29 23:30:26+00:00,8509,715,392
2020-03-30 23:31:26+00:00,8853,747,413
2020-03-31 23:30:28+00:00,9374,828,477
2020-04-01 16:30:25+00:00,9625,902,499
2020-04-04 23:30:28+00:00,10946,1124,607
2020-04-05 23:30:30+00:00,11407,1186,631
2020-04-06 23:30:28+00:00,11639,1204,662
2020-04-07 23:30:27+00:00,12021,1265,695
2020-04-08 23:30:29+00:00,12410,1503,736
2020-04-09 08:00:29+00:00,12622,1503,736
2020-04-12 23:30:33+00:00,14077,2492,856
2020-04-13 16:00:37+00:00,14251,2603,882
2020-04-15 23:30:35+00:00,14624,2895,940
2020-04-16 23:30:34+00:00,14990,3209,981
2020-04-17 23:30:36+00:00,15374,3730,1026
2020-04-18 23:30:33+00:00,15692,4189,1059
2020-04-19 23:30:37+00:00,15935,4638,1087
2020-04-20 23:30:40+00:00,16127,4954,1112
2020-04-21 23:30:37+00:00,16404,5173,1154
2020-04-22 23:30:36+00:00,16738,5566,1181
2020-04-23 23:30:39+00:00,16881,5750,1206
2020-04-24 23:30:37+00:00,17229,6306,1244
2020-04-25 23:30:39+00:00,17391,6671,1288
2020-04-26 23:30:40+00:00,17471,7018,1315
2020-04-27 23:30:37+00:00,17579,7375,1344
2020-04-28 23:30:49+00:00,17708,7699,1408
2020-04-29 23:30:51+00:00,17825,8019,1437
2020-04-30 23:30:57+00:00,17960,8354,1459
2020-05-01 23:30:42+00:00,18098,8840,1479
2020-05-02 11:01:09+00:00,18098,1479,7779
2020-05-03 23:30:48+00:00,18318,9503,1516
2020-05-04 23:30:46+00:00,18373,9611,1528
2020-05-05 23:30:53+00:00,18402,9741,1545
2020-05-06 23:30:54+00:00,18479,10122,1568
2020-05-07 23:30:49+00:00,18553,10430,1589
2020-05-08 23:30:52+00:00,18618,10804,1627
2020-05-09 23:30:46+00:00,18671,11151,1643
2020-05-10 23:30:41+00:00,18722,11474,1657
2020-05-11 23:30:41+00:00,18741,11615,1666
2020-05-12 23:31:01+00:00,18782,11906,1686
2020-05-13 23:30:46+00:00,18813,12081,1712
2020-05-14 23:30:46+00:00,18845,12384,1743
2020-05-15 23:30:59+00:00,18889,12688,1762
2020-05-16 23:30:45+00:00,18928,12983,1783
2020-05-17 23:30:56+00:00,18941,13106,1794
2020-05-18 23:30:51+00:00,18950,13143,1803
2020-05-19 23:30:50+00:00,18997,13423,1820
2020-05-20 23:30:51+00:00,19030,13666,1832
2020-05-21 23:30:51+00:00,19038,13911,1841
2020-05-22 23:30:51+00:00,19059,14182,1854
2020-05-23 23:30:54+00:00,19069,14363,1865
2020-05-24 23:30:54+00:00,19086,14557,1869
2020-05-25 23:30:53+00:00,19097,14641,1878
2020-05-26 23:30:54+00:00,19105,14788,1886
2020-05-27 23:30:56+00:00,19113,14931,1895
2020-05-28 23:30:54+00:00,19125,15202,1898
2020-05-29 23:30:58+00:00,19134,15379,1906
2020-05-30 03:00:54+00:00,19134,15379,1906
2020-05-31 23:30:53+00:00,19152,15734,1918
2020-06-01 23:31:02+00:00,19154,15768,1918
2020-06-02 18:00:57+00:00,19162,15838,1921
2020-06-03 23:30:59+00:00,19164,15856,1921
2020-06-04 23:31:07+00:00,19168,15915,1934
2020-06-05 23:30:59+00:00,19174,16007,1938
2020-06-06 23:31:00+00:00,19182,16069,1949
2020-06-07 23:31:01+00:00,19183,16144,1954
2020-06-08 23:31:14+00:00,19187,16152,1955
2020-06-09 23:31:08+00:00,19191,16226,1961
2020-06-10 23:31:07+00:00,19194,16268,1961
2020-06-11 23:31:14+00:00,19199,16313,1964
2020-06-12 23:31:06+00:00,19199,16383,1967
2020-06-13 23:31:07+00:00,19212,16457,1977
2020-06-14 23:31:09+00:00,19219,16469,1978
2020-06-15 14:31:08+00:00,19219,16469,1978
